focal_species,focal_family,focal_genus,control_candidate,control_family,control_genus,match_level,match_rank,control_verification_status,monomorphism_evidence,exclusion_reason
Collinsia heterophylla,Plantaginaceae,Collinsia,Collinsia concolor,Plantaginaceae,Collinsia,same_genus,5,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe acaulis,Phrymaceae,Erythranthe,same_genus,1,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe acutidens,Phrymaceae,Erythranthe,same_genus,2,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe alsinoides,Phrymaceae,Erythranthe,same_genus,3,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe ampliata,Phrymaceae,Erythranthe,same_genus,4,pending_monomorphism_review,unknown,
Erythranthe discolor,Phrymaceae,Erythranthe,Erythranthe andicola,Phrymaceae,Erythranthe,same_genus,5,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya alba,Brassicaceae,Parrya,same_genus,1,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya albida,Brassicaceae,Parrya,same_genus,2,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya arctica,Brassicaceae,Parrya,same_genus,3,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya asperrima,Brassicaceae,Parrya,same_genus,4,pending_monomorphism_review,unknown,
Parrya nudicaulis,Brassicaceae,Parrya,Parrya australis,Brassicaceae,Parrya,same_genus,5,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus acanthoclados,Convolvulaceae,Convolvulus,same_genus,1,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus acanthocladus,Convolvulaceae,Convolvulus,same_genus,2,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus aculeatus,Convolvulaceae,Convolvulus,same_genus,3,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus adfinis,Convolvulaceae,Convolvulus,same_genus,4,pending_monomorphism_review,unknown,
Convolvulus arvensis,Convolvulaceae,Convolvulus,Convolvulus affinis,Convolvulaceae,Convolvulus,same_genus,5,pending_monomorphism_review,unknown,
Encelia farinosa,Asteraceae,Encelia,Encelia actoni,Asteraceae,Encelia,same_genus,1,pending_monomorphism_review,unknown,
Encelia farinosa,Asteraceae,Encelia,Encelia asperifolia,Asteraceae,Encelia,same_genus,2,pending_monomorphism_review,unknown,
Encelia farinosa,Asteraceae,Encelia,Encelia balandra,Asteraceae,Encelia,same_genus,3,pending_monomorphism_review,unknown,
Encelia farinosa,Asteraceae,Encelia,Encelia californica,Asteraceae,Encelia,same_genus,4,pending_monomorphism_review,unknown,
Encelia farinosa,Asteraceae,Encelia,Encelia canescens,Asteraceae,Encelia,same_genus,5,pending_monomorphism_review,unknown,
Tecomella undulata,Bignoniaceae,Tecomella,Adenocalymma acutissimum,Bignoniaceae,Adenocalymma,same_family,1,pending_monomorphism_review,unknown,
Tecomella undulata,Bignoniaceae,Tecomella,Adenocalymma adenophorum,Bignoniaceae,Adenocalymma,same_family,2,pending_monomorphism_review,unknown,
Tecomella undulata,Bignoniaceae,Tecomella,Adenocalymma albiflorum,Bignoniaceae,Adenocalymma,same_family,3,pending_monomorphism_review,unknown,
Tecomella undulata,Bignoniaceae,Tecomella,Adenocalymma alboaurantiacum,Bignoniaceae,Adenocalymma,same_family,4,pending_monomorphism_review,unknown,
Tecomella undulata,Bignoniaceae,Tecomella,Adenocalymma album,Bignoniaceae,Adenocalymma,same_family,5,pending_monomorphism_review,unknown,
Rhododendron arboreum,Ericaceae,Rhododendron,Rhododendron aberconwayi,Ericaceae,Rhododendron,same_genus,1,pending_monomorphism_review,unknown,
Rhododendron arboreum,Ericaceae,Rhododendron,Rhododendron abhayae,Ericaceae,Rhododendron,same_genus,2,pending_monomorphism_review,unknown,
Rhododendron arboreum,Ericaceae,Rhododendron,Rhododendron abietifolium,Ericaceae,Rhododendron,same_genus,3,pending_monomorphism_review,unknown,
Rhododendron arboreum,Ericaceae,Rhododendron,Rhododendron acrophilum,Ericaceae,Rhododendron,same_genus,4,pending_monomorphism_review,unknown,
Rhododendron arboreum,Ericaceae,Rhododendron,Rhododendron acuminatum,Ericaceae,Rhododendron,same_genus,5,pending_monomorphism_review,unknown,
Geranium thunbergii,Geraniaceae,Geranium,Geranium acetosum,Geraniaceae,Geranium,same_genus,1,pending_monomorphism_review,unknown,
Geranium thunbergii,Geraniaceae,Geranium,Geranium aconitifolium,Geraniaceae,Geranium,same_genus,2,pending_monomorphism_review,unknown,
Geranium thunbergii,Geraniaceae,Geranium,Geranium aculeolatum,Geraniaceae,Geranium,same_genus,3,pending_monomorphism_review,unknown,
Geranium thunbergii,Geraniaceae,Geranium,Geranium aedonianum,Geraniaceae,Geranium,same_genus,4,pending_monomorphism_review,unknown,
Geranium thunbergii,Geraniaceae,Geranium,Geranium aequale,Geraniaceae,Geranium,same_genus,5,pending_monomorphism_review,unknown,
Corydalis cava,Papaveraceae,Corydalis,Corydalis aconitiflora,Papaveraceae,Corydalis,same_genus,1,pending_monomorphism_review,unknown,
Corydalis cava,Papaveraceae,Corydalis,Corydalis acropteryx,Papaveraceae,Corydalis,same_genus,2,pending_monomorphism_review,unknown,
Corydalis cava,Papaveraceae,Corydalis,Corydalis acuminata,Papaveraceae,Corydalis,same_genus,3,pending_monomorphism_review,unknown,
Corydalis cava,Papaveraceae,Corydalis,Corydalis adiantifolia,Papaveraceae,Corydalis,same_genus,4,pending_monomorphism_review,unknown,
Corydalis cava,Papaveraceae,Corydalis,Corydalis adoxifolia,Papaveraceae,Corydalis,same_genus,5,pending_monomorphism_review,unknown,
Erythronium umbilicatum,Liliaceae,Erythronium,Erythronium albidum,Liliaceae,Erythronium,same_genus,1,pending_monomorphism_review,unknown,
Erythronium umbilicatum,Liliaceae,Erythronium,Erythronium californicum,Liliaceae,Erythronium,same_genus,2,pending_monomorphism_review,unknown,
Erythronium umbilicatum,Liliaceae,Erythronium,Erythronium caucasicum,Liliaceae,Erythronium,same_genus,3,pending_monomorphism_review,unknown,
Erythronium umbilicatum,Liliaceae,Erythronium,Erythronium citrinum,Liliaceae,Erythronium,same_genus,4,pending_monomorphism_review,unknown,
Erythronium umbilicatum,Liliaceae,Erythronium,Erythronium elegans,Liliaceae,Erythronium,same_genus,5,pending_monomorphism_review,unknown,
Clarkia gracilis,Onagraceae,Clarkia,Clarkia affinis,Onagraceae,Clarkia,same_genus,1,pending_monomorphism_review,unknown,
Clarkia gracilis,Onagraceae,Clarkia,Clarkia arcuata,Onagraceae,Clarkia,same_genus,2,pending_monomorphism_review,unknown,
Clarkia gracilis,Onagraceae,Clarkia,Clarkia australis,Onagraceae,Clarkia,same_genus,3,pending_monomorphism_review,unknown,
Clarkia gracilis,Onagraceae,Clarkia,Clarkia biloba,Onagraceae,Clarkia,same_genus,4,pending_monomorphism_review,unknown,
Clarkia gracilis,Onagraceae,Clarkia,Clarkia borealis,Onagraceae,Clarkia,same_genus,5,pending_monomorphism_review,unknown,
Hepatica nobilis,Ranunculaceae,Hepatica,Hepatica acutiloba,Ranunculaceae,Hepatica,same_genus,1,pending_monomorphism_review,unknown,
Hepatica nobilis,Ranunculaceae,Hepatica,Hepatica americana,Ranunculaceae,Hepatica,same_genus,2,pending_monomorphism_review,unknown,
Hepatica nobilis,Ranunculaceae,Hepatica,Hepatica asiatica,Ranunculaceae,Hepatica,same_genus,3,pending_monomorphism_review,unknown,
Hepatica nobilis,Ranunculaceae,Hepatica,Hepatica conica,Ranunculaceae,Hepatica,same_genus,4,pending_monomorphism_review,unknown,
Hepatica nobilis,Ranunculaceae,Hepatica,Hepatica falconeri,Ranunculaceae,Hepatica,same_genus,5,pending_monomorphism_review,unknown,
Cicer arietinum,Fabaceae,Cicer,Cicer abietinum,Fabaceae,Cicer,same_genus,1,pending_monomorphism_review,unknown,
Cicer arietinum,Fabaceae,Cicer,Cicer acanthophyllum,Fabaceae,Cicer,same_genus,2,pending_monomorphism_review,unknown,
Cicer arietinum,Fabaceae,Cicer,Cicer anatolicum,Fabaceae,Cicer,same_genus,3,pending_monomorphism_review,unknown,
Cicer arietinum,Fabaceae,Cicer,Cicer atlanticum,Fabaceae,Cicer,same_genus,4,pending_monomorphism_review,unknown,
Cicer arietinum,Fabaceae,Cicer,Cicer balcaricum,Fabaceae,Cicer,same_genus,5,pending_monomorphism_review,unknown,
Butomus umbellatus,Butomaceae,Butomus,Butomus junceus,Butomaceae,Butomus,same_genus,1,pending_monomorphism_review,unknown,
Butomus umbellatus,Butomaceae,Butomus,Butomites cretaceus,Butomaceae,Butomites,same_family,2,pending_monomorphism_review,unknown,
Geranium nepalense,Geraniaceae,Geranium,Geranium acetosum,Geraniaceae,Geranium,same_genus,1,pending_monomorphism_review,unknown,
Geranium nepalense,Geraniaceae,Geranium,Geranium aconitifolium,Geraniaceae,Geranium,same_genus,2,pending_monomorphism_review,unknown,
Geranium nepalense,Geraniaceae,Geranium,Geranium aculeolatum,Geraniaceae,Geranium,same_genus,3,pending_monomorphism_review,unknown,
Geranium nepalense,Geraniaceae,Geranium,Geranium aedonianum,Geraniaceae,Geranium,same_genus,4,pending_monomorphism_review,unknown,
Geranium nepalense,Geraniaceae,Geranium,Geranium aequale,Geraniaceae,Geranium,same_genus,5,pending_monomorphism_review,unknown,
Leavenworthia stylosa,Brassicaceae,Leavenworthia,Leavenworthia alabamica,Brassicaceae,Leavenworthia,same_genus,1,pending_monomorphism_review,unknown,
Leavenworthia stylosa,Brassicaceae,Leavenworthia,Leavenworthia aurea,Brassicaceae,Leavenworthia,same_genus,2,pending_monomorphism_review,unknown,
Leavenworthia stylosa,Brassicaceae,Leavenworthia,Leavenworthia crassa,Brassicaceae,Leavenworthia,same_genus,3,pending_monomorphism_review,unknown,
Leavenworthia stylosa,Brassicaceae,Leavenworthia,Leavenworthia texana,Brassicaceae,Leavenworthia,same_genus,4,pending_monomorphism_review,unknown,
Leavenworthia stylosa,Brassicaceae,Leavenworthia,Leavenworthia torulosa,Brassicaceae,Leavenworthia,same_genus,5,pending_monomorphism_review,unknown,
Leptocereus scopulophilus,Cactaceae,Leptocereus,Leptocereus arboreus,Cactaceae,Leptocereus,same_genus,1,pending_monomorphism_review,unknown,
Leptocereus scopulophilus,Cactaceae,Leptocereus,Leptocereus assurgens,Cactaceae,Leptocereus,same_genus,2,pending_monomorphism_review,unknown,
Leptocereus scopulophilus,Cactaceae,Leptocereus,Leptocereus carinatus,Cactaceae,Leptocereus,same_genus,3,pending_monomorphism_review,unknown,
Leptocereus scopulophilus,Cactaceae,Leptocereus,Leptocereus demissus,Cactaceae,Leptocereus,same_genus,4,pending_monomorphism_review,unknown,
Leptocereus scopulophilus,Cactaceae,Leptocereus,Leptocereus grantianus,Cactaceae,Leptocereus,same_genus,5,pending_monomorphism_review,unknown,
Lupinus perennis,Fabaceae,Lupinus,Lupinus aberrans,Fabaceae,Lupinus,same_genus,1,pending_monomorphism_review,unknown,
Lupinus perennis,Fabaceae,Lupinus,Lupinus acopalcus,Fabaceae,Lupinus,same_genus,2,pending_monomorphism_review,unknown,
Lupinus perennis,Fabaceae,Lupinus,Lupinus adinoanthus,Fabaceae,Lupinus,same_genus,3,pending_monomorphism_review,unknown,
Lupinus perennis,Fabaceae,Lupinus,Lupinus adsurgens,Fabaceae,Lupinus,same_genus,4,pending_monomorphism_review,unknown,
Lupinus perennis,Fabaceae,Lupinus,Lupinus affinis,Fabaceae,Lupinus,same_genus,5,pending_monomorphism_review,unknown,
Narcissus pseudonarcissus,Amaryllidaceae,Narcissus,Narcissus abilii,Amaryllidaceae,Narcissus,same_genus,1,pending_monomorphism_review,unknown,
Narcissus pseudonarcissus,Amaryllidaceae,Narcissus,Narcissus abilioi,Amaryllidaceae,Narcissus,same_genus,2,pending_monomorphism_review,unknown,
Narcissus pseudonarcissus,Amaryllidaceae,Narcissus,Narcissus abscissus,Amaryllidaceae,Narcissus,same_genus,3,pending_monomorphism_review,unknown,
Narcissus pseudonarcissus,Amaryllidaceae,Narcissus,Narcissus albicans,Amaryllidaceae,Narcissus,same_genus,4,pending_monomorphism_review,unknown,
Narcissus pseudonarcissus,Amaryllidaceae,Narcissus,Narcissus albimarginatus,Amaryllidaceae,Narcissus,same_genus,5,pending_monomorphism_review,unknown,
Viola diversifolia,Violaceae,Viola,Viola abbreviata,Violaceae,Viola,same_genus,1,pending_monomorphism_review,unknown,
Viola diversifolia,Violaceae,Viola,Viola aberrans,Violaceae,Viola,same_genus,2,pending_monomorphism_review,unknown,
Viola diversifolia,Violaceae,Viola,Viola abyssinica,Violaceae,Viola,same_genus,3,pending_monomorphism_review,unknown,
Viola diversifolia,Violaceae,Viola,Viola acanthophylla,Violaceae,Viola,same_genus,4,pending_monomorphism_review,unknown,
Viola diversifolia,Violaceae,Viola,Viola acrocerauniensis,Violaceae,Viola,same_genus,5,pending_monomorphism_review,unknown,
Haageocereus acranthus,Cactaceae,Haageocereus,Haageocereus australis,Cactaceae,Haageocereus,same_genus,1,pending_monomorphism_review,unknown,
Haageocereus acranthus,Cactaceae,Haageocereus,Haageocereus bieblii,Cactaceae,Haageocereus,same_genus,2,pending_monomorphism_review,unknown,
Haageocereus acranthus,Cactaceae,Haageocereus,Haageocereus bylesianus,Cactaceae,Haageocereus,same_genus,3,pending_monomorphism_review,unknown,
Haageocereus acranthus,Cactaceae,Haageocereus,Haageocereus chilensis,Cactaceae,Haageocereus,same_genus,4,pending_monomorphism_review,unknown,
Haageocereus acranthus,Cactaceae,Haageocereus,Haageocereus comosus,Cactaceae,Haageocereus,same_genus,5,pending_monomorphism_review,unknown,
Mirabilis jalapa,Nyctaginaceae,Mirabilis,Mirabilis acuta,Nyctaginaceae,Mirabilis,same_genus,1,pending_monomorphism_review,unknown,
Mirabilis jalapa,Nyctaginaceae,Mirabilis,Mirabilis aggregata,Nyctaginaceae,Mirabilis,same_genus,2,pending_monomorphism_review,unknown,
Mirabilis jalapa,Nyctaginaceae,Mirabilis,Mirabilis albida,Nyctaginaceae,Mirabilis,same_genus,3,pending_monomorphism_review,unknown,
Mirabilis jalapa,Nyctaginaceae,Mirabilis,Mirabilis alipes,Nyctaginaceae,Mirabilis,same_genus,4,pending_monomorphism_review,unknown,
Mirabilis jalapa,Nyctaginaceae,Mirabilis,Mirabilis austrotexana,Nyctaginaceae,Mirabilis,same_genus,5,pending_monomorphism_review,unknown,
Aloe petricola,Asphodelaceae,Aloe,Aloe aaata,Asphodelaceae,Aloe,same_genus,1,pending_monomorphism_review,unknown,
Aloe petricola,Asphodelaceae,Aloe,Aloe aageodonta,Asphodelaceae,Aloe,same_genus,2,pending_monomorphism_review,unknown,
Aloe petricola,Asphodelaceae,Aloe,Aloe abyssicola,Asphodelaceae,Aloe,same_genus,3,pending_monomorphism_review,unknown,
Aloe petricola,Asphodelaceae,Aloe,Aloe aculeata,Asphodelaceae,Aloe,same_genus,4,pending_monomorphism_review,unknown,
Aloe petricola,Asphodelaceae,Aloe,Aloe acutissima,Asphodelaceae,Aloe,same_genus,5,pending_monomorphism_review,unknown,
Hydrophyllum appendiculatum,Hydrophyllaceae,Hydrophyllum,Hydrophyllum alpestre,Hydrophyllaceae,Hydrophyllum,same_genus,1,pending_monomorphism_review,unknown,
Hydrophyllum appendiculatum,Hydrophyllaceae,Hydrophyllum,Hydrophyllum brownei,Hydrophyllaceae,Hydrophyllum,same_genus,2,pending_monomorphism_review,unknown,
Hydrophyllum appendiculatum,Hydrophyllaceae,Hydrophyllum,Hydrophyllum canadense,Hydrophyllaceae,Hydrophyllum,same_genus,3,pending_monomorphism_review,unknown,
Hydrophyllum appendiculatum,Hydrophyllaceae,Hydrophyllum,Hydrophyllum capitatum,Hydrophyllaceae,Hydrophyllum,same_genus,4,pending_monomorphism_review,unknown,
Hydrophyllum appendiculatum,Hydrophyllaceae,Hydrophyllum,Hydrophyllum fendleri,Hydrophyllaceae,Hydrophyllum,same_genus,5,pending_monomorphism_review,unknown,
Pleione limprichtii,Orchidaceae,Pleione,Pleione albiflora,Orchidaceae,Pleione,same_genus,1,pending_monomorphism_review,unknown,
Pleione limprichtii,Orchidaceae,Pleione,Pleione arunachalensis,Orchidaceae,Pleione,same_genus,2,pending_monomorphism_review,unknown,
Pleione limprichtii,Orchidaceae,Pleione,Pleione aurita,Orchidaceae,Pleione,same_genus,3,pending_monomorphism_review,unknown,
Pleione limprichtii,Orchidaceae,Pleione,Pleione autumnalis,Orchidaceae,Pleione,same_genus,4,pending_monomorphism_review,unknown,
Pleione limprichtii,Orchidaceae,Pleione,Pleione baoshanensis,Orchidaceae,Pleione,same_genus,5,pending_monomorphism_review,unknown,
Gentiana lutea,Gentianaceae,Gentiana,Gentiana acaulis,Gentianaceae,Gentiana,same_genus,1,pending_monomorphism_review,unknown,
Gentiana lutea,Gentianaceae,Gentiana,Gentiana affinis,Gentianaceae,Gentiana,same_genus,2,pending_monomorphism_review,unknown,
Gentiana lutea,Gentianaceae,Gentiana,Gentiana alba,Gentianaceae,Gentiana,same_genus,3,pending_monomorphism_review,unknown,
Gentiana lutea,Gentianaceae,Gentiana,Gentiana albicalyx,Gentianaceae,Gentiana,same_genus,4,pending_monomorphism_review,unknown,
Gentiana lutea,Gentianaceae,Gentiana,Gentiana albomarginata,Gentianaceae,Gentiana,same_genus,5,pending_monomorphism_review,unknown,
Lysimachia arvensis,Primulaceae,Lysimachia,Lysimachia abscondita,Primulaceae,Lysimachia,same_genus,1,pending_monomorphism_review,unknown,
Lysimachia arvensis,Primulaceae,Lysimachia,Lysimachia acroademia,Primulaceae,Lysimachia,same_genus,2,pending_monomorphism_review,unknown,
Lysimachia arvensis,Primulaceae,Lysimachia,Lysimachia acroadenia,Primulaceae,Lysimachia,same_genus,3,pending_monomorphism_review,unknown,
Lysimachia arvensis,Primulaceae,Lysimachia,Lysimachia acuminata,Primulaceae,Lysimachia,same_genus,4,pending_monomorphism_review,unknown,
Lysimachia arvensis,Primulaceae,Lysimachia,Lysimachia adoensis,Primulaceae,Lysimachia,same_genus,5,pending_monomorphism_review,unknown,
Digitalis purpurea,Plantaginaceae,Digitalis,Digitalis americana,Plantaginaceae,Digitalis,same_genus,1,pending_monomorphism_review,unknown,
Digitalis purpurea,Plantaginaceae,Digitalis,Digitalis atlantica,Plantaginaceae,Digitalis,same_genus,2,pending_monomorphism_review,unknown,
Digitalis purpurea,Plantaginaceae,Digitalis,Digitalis canariensis,Plantaginaceae,Digitalis,same_genus,3,pending_monomorphism_review,unknown,
Digitalis purpurea,Plantaginaceae,Digitalis,Digitalis cariensis,Plantaginaceae,Digitalis,same_genus,4,pending_monomorphism_review,unknown,
Digitalis purpurea,Plantaginaceae,Digitalis,Digitalis cedretorum,Plantaginaceae,Digitalis,same_genus,5,pending_monomorphism_review,unknown,
Phlox drummondii,Polemoniaceae,Phlox,Phlox aculeata,Polemoniaceae,Phlox,same_genus,1,pending_monomorphism_review,unknown,
Phlox drummondii,Polemoniaceae,Phlox,Phlox adsurgens,Polemoniaceae,Phlox,same_genus,2,pending_monomorphism_review,unknown,
Phlox drummondii,Polemoniaceae,Phlox,Phlox albomarginata,Polemoniaceae,Phlox,same_genus,3,pending_monomorphism_review,unknown,
Phlox drummondii,Polemoniaceae,Phlox,Phlox alyssifolia,Polemoniaceae,Phlox,same_genus,4,pending_monomorphism_review,unknown,
Phlox drummondii,Polemoniaceae,Phlox,Phlox amabilis,Polemoniaceae,Phlox,same_genus,5,pending_monomorphism_review,unknown,
Lobelia siphilitica,Campanulaceae,Lobelia,Lobelia aberdarica,Campanulaceae,Lobelia,same_genus,1,pending_monomorphism_review,unknown,
Lobelia siphilitica,Campanulaceae,Lobelia,Lobelia acrochila,Campanulaceae,Lobelia,same_genus,2,pending_monomorphism_review,unknown,
Lobelia siphilitica,Campanulaceae,Lobelia,Lobelia acuminata,Campanulaceae,Lobelia,same_genus,3,pending_monomorphism_review,unknown,
Lobelia siphilitica,Campanulaceae,Lobelia,Lobelia acutidens,Campanulaceae,Lobelia,same_genus,4,pending_monomorphism_review,unknown,
Lobelia siphilitica,Campanulaceae,Lobelia,Lobelia adnexa,Campanulaceae,Lobelia,same_genus,5,pending_monomorphism_review,unknown,
Mimulus ringens,Phrymaceae,Mimulus,Mimulus aggregate,Phrymaceae,Mimulus,same_genus,1,pending_monomorphism_review,unknown,
Mimulus ringens,Phrymaceae,Mimulus,Mimulus alatus,Phrymaceae,Mimulus,same_genus,2,pending_monomorphism_review,unknown,
Mimulus ringens,Phrymaceae,Mimulus,Mimulus aquatilis,Phrymaceae,Mimulus,same_genus,3,pending_monomorphism_review,unknown,
Mimulus ringens,Phrymaceae,Mimulus,Mimulus austiniae,Phrymaceae,Mimulus,same_genus,4,pending_monomorphism_review,unknown,
Mimulus ringens,Phrymaceae,Mimulus,Mimulus gracilis,Phrymaceae,Mimulus,same_genus,5,pending_monomorphism_review,unknown,
Arabidopsis thaliana,Brassicaceae,Arabidopsis,Arabidopsis arenicola,Brassicaceae,Arabidopsis,same_genus,1,pending_monomorphism_review,unknown,
Arabidopsis thaliana,Brassicaceae,Arabidopsis,Arabidopsis arenosa,Brassicaceae,Arabidopsis,same_genus,2,pending_monomorphism_review,unknown,
Arabidopsis thaliana,Brassicaceae,Arabidopsis,Arabidopsis cebennensis,Brassicaceae,Arabidopsis,same_genus,3,pending_monomorphism_review,unknown,
Arabidopsis thaliana,Brassicaceae,Arabidopsis,Arabidopsis croatica,Brassicaceae,Arabidopsis,same_genus,4,pending_monomorphism_review,unknown,
Arabidopsis thaliana,Brassicaceae,Arabidopsis,Arabidopsis drassiana,Brassicaceae,Arabidopsis,same_genus,5,pending_monomorphism_review,unknown,
Claytonia virginica,Montiaceae,Claytonia,Claytonia acutifolia,Montiaceae,Claytonia,same_genus,1,pending_monomorphism_review,unknown,
Claytonia virginica,Montiaceae,Claytonia,Claytonia alnoides,Montiaceae,Claytonia,same_genus,2,pending_monomorphism_review,unknown,
Claytonia virginica,Montiaceae,Claytonia,Claytonia arctica,Montiaceae,Claytonia,same_genus,3,pending_monomorphism_review,unknown,
Claytonia virginica,Montiaceae,Claytonia,Claytonia arenicola,Montiaceae,Claytonia,same_genus,4,pending_monomorphism_review,unknown,
Claytonia virginica,Montiaceae,Claytonia,Claytonia arkansana,Montiaceae,Claytonia,same_genus,5,pending_monomorphism_review,unknown,
Clarkia xantiana,Onagraceae,Clarkia,Clarkia affinis,Onagraceae,Clarkia,same_genus,1,pending_monomorphism_review,unknown,
Clarkia xantiana,Onagraceae,Clarkia,Clarkia arcuata,Onagraceae,Clarkia,same_genus,2,pending_monomorphism_review,unknown,
Clarkia xantiana,Onagraceae,Clarkia,Clarkia australis,Onagraceae,Clarkia,same_genus,3,pending_monomorphism_review,unknown,
Clarkia xantiana,Onagraceae,Clarkia,Clarkia biloba,Onagraceae,Clarkia,same_genus,4,pending_monomorphism_review,unknown,
Clarkia xantiana,Onagraceae,Clarkia,Clarkia borealis,Onagraceae,Clarkia,same_genus,5,pending_monomorphism_review,unknown,
Heliconia irrasa,Heliconiaceae,Heliconia,Heliconia abaloi,Heliconiaceae,Heliconia,same_genus,1,pending_monomorphism_review,unknown,
Heliconia irrasa,Heliconiaceae,Heliconia,Heliconia acuminata,Heliconiaceae,Heliconia,same_genus,2,pending_monomorphism_review,unknown,
Heliconia irrasa,Heliconiaceae,Heliconia,Heliconia adeliana,Heliconiaceae,Heliconia,same_genus,3,pending_monomorphism_review,unknown,
Heliconia irrasa,Heliconiaceae,Heliconia,Heliconia adflexa,Heliconiaceae,Heliconia,same_genus,4,pending_monomorphism_review,unknown,
Heliconia irrasa,Heliconiaceae,Heliconia,Heliconia aemygdiana,Heliconiaceae,Heliconia,same_genus,5,pending_monomorphism_review,unknown,
Curcuma caulina,Zingiberaceae,Curcuma,Curcuma achrae,Zingiberaceae,Curcuma,same_genus,1,pending_monomorphism_review,unknown,
Curcuma caulina,Zingiberaceae,Curcuma,Curcuma aeruginosa,Zingiberaceae,Curcuma,same_genus,2,pending_monomorphism_review,unknown,
Curcuma caulina,Zingiberaceae,Curcuma,Curcuma albiflora,Zingiberaceae,Curcuma,same_genus,3,pending_monomorphism_review,unknown,
Curcuma caulina,Zingiberaceae,Curcuma,Curcuma amada,Zingiberaceae,Curcuma,same_genus,4,pending_monomorphism_review,unknown,
Curcuma caulina,Zingiberaceae,Curcuma,Curcuma amarissima,Zingiberaceae,Curcuma,same_genus,5,pending_monomorphism_review,unknown,
Phlox cuspidata,Polemoniaceae,Phlox,Phlox aculeata,Polemoniaceae,Phlox,same_genus,1,pending_monomorphism_review,unknown,
Phlox cuspidata,Polemoniaceae,Phlox,Phlox adsurgens,Polemoniaceae,Phlox,same_genus,2,pending_monomorphism_review,unknown,
Phlox cuspidata,Polemoniaceae,Phlox,Phlox albomarginata,Polemoniaceae,Phlox,same_genus,3,pending_monomorphism_review,unknown,
Phlox cuspidata,Polemoniaceae,Phlox,Phlox alyssifolia,Polemoniaceae,Phlox,same_genus,4,pending_monomorphism_review,unknown,
Phlox cuspidata,Polemoniaceae,Phlox,Phlox amabilis,Polemoniaceae,Phlox,same_genus,5,pending_monomorphism_review,unknown,
