review_priority,canonical_name,family,best_title,best_doi,best_openalex_id,evidence_class,verification_status,outcome_state,within_population_polymorphism,geographic_mosaic,n_colour_morphs,colour_morphs,morph_frequency_reported,morph_frequency_data,population_count,sample_size,pollination_mode,dominant_pollinator_group,bumblebee_status,bumblebee_visitation_share,pollinator_richness,frequency_dependent_selection,directional_selection,spatially_varying_selection,temporally_varying_selection,abiotic_selection,herbivory_selection,mating_system,self_compatibility,genetic_basis,environmental_basis,study_region,latitude,longitude,island_status,native_or_introduced,evidence_level,full_text_status,review_notes,reviewer,review_date
P0,Dactylorhiza sambucina,Orchidaceae,"Monitoring of Dactylorhiza sambucina (L.) Soó (Orchidaceae)—Variation in Flowering, Flower Colour Morph Frequencies, and Erratic Population Census Trends",10.3390/d15020179,https://openalex.org/W4318475531,natural_polymorphism,seed_verified,unknown,yes,unknown,,,yes,,,,insect_or_mixed,unknown,unknown,,,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,"Central questions of reproductive research on Dactylorhiza sambucina (Orchidaceae) are, if and how pollinator-mediated negative frequency dependent selection might maintain its flower colour polymorphism. As this hypothesis was based on artificial populations, it needs to be verified und | abstract_prefill=frequency_dependent_selection;morph_frequency_reported;pollination_mode",,
P0,Silene littorea,Caryophyllaceae,"The effects of pollination, herbivory and autonomous selfing on the maintenance of flower colour variation in Silene littorea",10.1111/plb.13209,https://openalex.org/W3103775414,natural_polymorphism,seed_verified,unknown,yes,unknown,2,white;pink,unknown,,,,self,none_or_incidental,unknown,,,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,"Intraspecific flower colour variation has been generally proposed to evolve as a result of selection driven by biotic or abiotic agents. In a polymorphic population of Silene littorea with pink- and white-flowered plants, we studied pollinators, analysed flower colour perception and tested for differences in pollinator visitation. We also experimentally analysed pollinator limitation in fruit and see | abstract_prefill=abiotic_selection;colour_morphs;dominant_pollinator_group;herbivory_selection;n_colour_morphs;pollination_mode",,
P0,Linanthus parryae,Polemoniaceae,PERSPECTIVE: EVOLUTION OF FLOWER COLOR IN THE DESERT ANNUAL LINANTHUS PARRYAE: WRIGHT REVISITED,10.1111/j.0014-3820.2001.tb00650.x,https://openalex.org/W2126691403,natural_polymorphism,seed_verified,unknown,yes,unknown,2,white;blue,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,"Linanthus parryae, a diminutive desert annual with white or blue flowers, has been the focus of a long-standing debate among evolutionary biologists. At issue is whether the flower color polymorphism in this species is the product of ran | abstract_prefill=colour_morphs;n_colour_morphs",,
P0,Gymnadenia rhellicani,Orchidaceae,Emergence of a floral colour polymorphism by pollinator-mediated overdominance: 3-dimensional data of Gymnadenia rhellicani flowers in DICOM format,,https://openalex.org/W3194954792,natural_polymorphism,seed_verified,unknown,yes,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,verified_seed,needed,Emergence of a floral colour polymorphism by pollinator-mediated overdominance: 3-dimensional data of Gymnadenia rhellicani flowers in DICOM format | abstract_prefill=pollination_mode,,
P1,Raphanus sativus,Brassicaceae,REPRODUCTIVE BIOLOGY OF PETAL COLOR VARIANTS IN WILD POPULATIONS OF RAPHANUS SATIVUS: I. POLLINATOR RESPONSE TO COLOR MORPHS,10.1002/j.1537-2197.1987.tb08595.x,https://openalex.org/W2031071577,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,3,white;pink;yellow,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"Pollinator response to petal color polymorphism in wild radish (Raphanus sativus) was investigated. Behavior of insect visitors was observed within experimental flower arrays, each containing two of the petal color forms seen intermixed in California populations: white, yellow, pink, and bronze. Hon | abstract_prefill=colour_morphs;n_colour_morphs;native_or_introduced;pollination_mode",,
P1,Raphanus raphanistrum,Brassicaceae,"Effects of pollinator preference on flower color polymorphism in wild radish, Raphanus raphanistrum (Brassicaceae).",,https://openalex.org/W163160015,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;yellow,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"morphisms in plant populations. Pollinators may prefer one color morph to another, increasing its relative reproductive success, or they may remain constant to either morph, effecting assortative mating. In wild radish, Raphanus raphanistrum, these behaviors affect not only the frequencies of flower color traits, but also the persistence of crop genes in wild populations, as white-flowered plants in predominantly yellow-flowered populations may indicate pas | abstract_prefill=colour_morphs;n_colour_morphs;native_or_introduced;pollination_mode",,
P1,Anemone coronaria,Ranunculaceae,Distribution under climate change of Anemone coronaria : linking flower colour and seed dispersal,10.1002/njb.05105,https://openalex.org/W7160547221,natural_polymorphism,pending_primary_review,unknown,yes,yes,3,white;purple;red,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Flower colour polymorphism is driven by divergent selection regimes on the colour morphs across time and space. Anemone coronaria , a colour‐polymorphic geophyte with red, purple, and white flowers, displays a geographic pattern along Israel's aridity gradient: polymorphic populations are restricted to Mediterranean climates, while monomorphic‐red | abstract_prefill=abiotic_selection;colour_morphs;geographic_mosaic;n_colour_morphs;spatially_varying_selection;within_population_polymorphism",,
P1,Iris lutescens,Iridaceae,Neutral processes contribute to patterns of spatial variation for flower colour in the Mediterranean Iris lutescens (Iridaceae),10.1093/aob/mcw036,https://openalex.org/W2339618223,natural_polymorphism,pending_primary_review,unknown,unknown,yes,2,purple;yellow,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,". natural selection in population differentiation. However, current explanations for the maintenance of flower colour polymorphism mainly rely on balancing selection, while neutral processes have seldom been championed. Iris lutescens (Iridaceae) is a widespread species in the northern Mediterranean basin, which shows a stable and striking purple-yellow flower colour polymorphism. To evaluate the roles of neutral processes in the spatial variation fo | abstract_prefill=colour_morphs;geographic_mosaic;n_colour_morphs",,
P1,Lupinus pilosus,Fabaceae,Flower‐Colour Polymorphism in Lupinus pilosus in Israel,10.1111/j.1439-0523.1987.tb01189.x,https://openalex.org/W1985541337,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"Abstract Four rare flower‐colour mutants were detected in natural populations of Lupinus pilosus in Israel. The breeding systems and genetic bases of three oif them were examined. Mutants were tagged in wild populations and seed obtained upon open pollination was collected and grown in a, net house which was insect | abstract_prefill=native_or_introduced;pollination_mode",,
P1,Antirrhinum majus,Plantaginaceae,The role of pollinator-mediated selection in the maintenance of a flower color polymorphism in an Antirrhinum majus hybrid zone,10.15479/at:ista:th_526,https://openalex.org/W2954960215,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,yellow;magenta,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"been tested by selection. This provides an excellent opportunity to test the effect of mo- lecular variation on fitness, and how this variation is able to spread through populations in a natural context. The snapdragon Antirrhinum majus is polymorphic in the wild for two loci controlling the distribution of yellow and magenta floral pigments. Where the yellow A. m. striatum and the magenta A. m. pseudomajus meet along a valley in the Spanish Pyren- ees | abstract_prefill=colour_morphs;genetic_basis;n_colour_morphs;pollination_mode",,
P1,Hesperis matronalis,Brassicaceae,The Impact of Biochemistry vs. Population Membership on Floral Scent Profiles in Colour Polymorphic Hesperis matronalis,10.1093/aob/mcn181,https://openalex.org/W2160805784,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;purple,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"the relative effects of shared biochemistry and/or localized population-level phenomena on floral scent phenotype, floral scent composition and emission rate were examined in five wild populations of colour polymorphic Hesperis matronalis (Brassicaceae). METHODS: Floral scent was collected by in situ dynamic headspace extraction on purple and white colour morphs in each of five wild populations. Gas chromatography-mass spectroscopy of extracts allowed de | abstract_prefill=colour_morphs;n_colour_morphs;native_or_introduced",,
P1,Fritillaria persica,Liliaceae,Environment or Pollinators? Factors Shaping Breeding System and Spatial Variation in Nectar Properties and Pollination System in a Desert Species Fritillaria persica L. (Liliaceae),10.1002/ece3.71265,https://openalex.org/W4409814846,natural_polymorphism,pending_primary_review,unknown,yes,yes,,purple,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"in zoogamous angiosperms. Here we combine observational data and field experiments to describe the assemblages of pollinators, breeding systems, and reward properties in studied populations of the Middle East geophyte, Fritillaria persica . Natural populations of this species include two floral color morphs with greenish or purple flowers; in both morphs, the nectaries of the outer whorl are covered by the tepals of the inner one. Our study documented ge | abstract_prefill=colour_morphs;geographic_mosaic;native_or_introduced;pollination_mode;within_population_polymorphism",,
P1,Rhododendron cyanocarpum,Ericaceae,"Flower Color Polymorphism in Rhododendron cyanocarpum(Ericaceae),an Endangered Alpine Species Endemic to NW Yunnan,China",,https://openalex.org/W3151048116,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;pink,yes,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Rhododendron cyanocarpum is a narrow endemic species with pink and white floral color. In the present study,to investigate the significance of petal color morphs,we examined color morph frequencies,petal color reflectance and other associated f | abstract_prefill=colour_morphs;morph_frequency_reported;n_colour_morphs",,
P1,Anemone palmata,Ranunculaceae,Pollinator response to yellow UV ‐patterned versus white UV ‐patternless flower dimorphism in Anemone palmata,10.1111/plb.13702,https://openalex.org/W4402126765,natural_polymorphism,pending_primary_review,unknown,yes,unknown,2,white;yellow,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Flower colour polymorphisms are uncommon but widespread among angiosperms and can be maintained by a variety of balancing selection mechanisms. Anemone palmata is mostly yellow-flowered, but white-flowered plants coexist in some populations. We analysed the distribution of colour morphs of A. palmata across its range. We also characterised their colours and compared their vege | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode;within_population_polymorphism",,
P1,Solanum carolinense,Solanaceae,A field investigation into potential reproductive and resistance advantages of purple-petalled plants in polymorphic populations of horsenettle (Solanum carolinense),10.5091/plecevo.128527,https://openalex.org/W4403078083,natural_polymorphism,pending_primary_review,unknown,yes,unknown,,purple,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"lutionary biologists alike. Nevertheless, the diversity of genetic factors and ecological interactions that act to maintain flower-color polymorphisms over time are understood for very few species. Here, we suggest that Solanum carolinense (horsenettle) makes an excellent model system for studying the evolutionary ecology of a flower-color polymorphism, and we begin to shed insight into factors that might affect the stability of the polymorphism. Material | abstract_prefill=colour_morphs;within_population_polymorphism",,
P1,Lotus corniculatus,Fabaceae,THE KEEL PETAL COLOUR POLYMORPHISM OF LOTUS CORNICULATUS L. IN SCOTLAND,10.1111/j.1469-8137.1981.tb04098.x,https://openalex.org/W2166044192,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,yes,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"SUMMARY In a survey of the keel petal colour polymorphism in Lotus corniculatus L. conducted at 61 coastal and inland locations in Scotland, there was a major difference in morph frequency between populations in the west and those in the east and central areas, with the dark keel being at low‐relat | abstract_prefill=morph_frequency_reported",,
P1,Platystemon californicus,Papaveraceae,FLOWER COLOR POLYMORPHISM AND POLLINATION BIOLOGY OF PLATYSTEMON CALIFORNICUS BENTH. (PAPAVERACEAE),10.1002/j.1537-2197.1981.tb12383.x,https://openalex.org/W2023026998,natural_polymorphism,pending_primary_review,unknown,unknown,yes,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Five genetically controlled flower color morphs in Platystemon californicus tend to occur in distinct geographic regions, suggesting regional selection of morphs. I examined the reproductive biology of P. californicus to determine whether color morphs are subject to selection due to differences | abstract_prefill=genetic_basis;geographic_mosaic;pollination_mode;spatially_varying_selection",,
P1,Opuntia streptacantha,Cactaceae,Morphological and phenological variation of flower colour morphs in a wild population of Opuntia streptacantha (Cactaceae),10.5091/plecevo.112250,https://openalex.org/W4400298785,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,yellow;orange,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"tely 220 species. The considerable morphological and anatomical diversity among these species has resulted in a remarkable adaptative plasticity, evident in both intra- and interspecific variability. Our study system is Opuntia streptacantha , which has two flower colour morphs: yellow and orange. The objective is to determine if there are morphological differences in the reproductive and vegetative structures between floral morphs. Material and methods – W | abstract_prefill=colour_morphs;environmental_basis;n_colour_morphs;native_or_introduced",,
P1,Limonium wrightii,Plumbaginaceae,Origin of the disjunct distribution of flower colour polymorphism within Limonium wrightii (Plumbaginaceae) in the Ryukyu Archipelago,10.1111/j.1095-8312.2009.01253.x,https://openalex.org/W1926307786,natural_polymorphism,pending_primary_review,unknown,unknown,yes,2,pink;yellow,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,island_or_archipelago,unknown,abstract_prefilled_candidate,needed,"The sea lavender, Limonium wrightii, has six morphs of flower colour variation. The geographical distribution of flower colour morphs is disjunct; the distribution of the pink flower morph is divided into two subregions, and that of the yellow flower morp | abstract_prefill=colour_morphs;geographic_mosaic;island_status;n_colour_morphs",,
P1,Boechera stricta,Brassicaceae,Ecological causes and consequences of flower color polymorphism in a self‐pollinating plant ( Boechera stricta ),10.1111/nph.14998,https://openalex.org/W2790063807,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;purple,unknown,,,,self,none_or_incidental,unknown,,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,"this mechanism cannot explain flower color polymorphisms in self-pollinating species. Indirect selection mediated via biotic and abiotic stresses could maintain flower color variation in these systems. The selfing forb, Boechera stricta, typically displays white flowers, but some individuals produce purple flowers. We quantified environmental correlates of flower color in natural populations. To disentangle plasticity from genotypic variation, we perfo | abstract_prefill=abiotic_selection;colour_morphs;dominant_pollinator_group;environmental_basis;n_colour_morphs;native_or_introduced;pollination_mode",,
P1,Ophiorrhiza japonica,Rubiaceae,Maintenance of flower color dimorphism in Ophiorrhiza japonica (Rubiaceae): responses to fluctuating temperatures in a dolomite Karst region,10.3389/fpls.2024.1495112,https://openalex.org/W4405558795,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;pink,yes,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,yes,,,,unknown,unknown,abstract_prefilled_candidate,needed,"ther non-pollinator stress factors. Generally, flower color polymorphism demonstrates effective acclimatization linked to either pollinator-mediated selection or pleiotropic effects. Methods: To test these hypotheses in Ophiorrhiza japonica, we compared pollinator visitation frequencies and plant traits between pink and white morphs in Shibing, a dolomite Karst region recognized as a World Natural Heritage Site. We also assessed the ratio of flower morphs | abstract_prefill=abiotic_selection;colour_morphs;environmental_basis;morph_frequency_reported;n_colour_morphs;pollination_mode;temporally_varying_selection",,
P1,Ipomoea purpurea,Convolvulaceae,FREQUENCY‐DEPENDENT VARIATION FOR OUTCROSSING RATE AMONG FLOWER‐COLOR MORPHS OF IPOMOEA PURPUREA,10.1111/j.1558-5646.1987.tb02468.x,https://openalex.org/W2316750284,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,white,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"In a series of previous studies, it has been shown that populations of the common morning glory Ipomoea purpurea are typically polymorphic for flower-color genes that bias pollinator service and, hence, the rate of outcrossing. In this study, we show that the rate of outcrossing for the white flower-color morph depends on its freq | abstract_prefill=colour_morphs;pollination_mode",,
P1,Lantana camara,Verbenaceae,Variations in floral secondary metabolites of three flower color morphs of Lantana camara L.: possible roles in pollinators attraction,10.1007/s44372-024-00072-5,https://openalex.org/W4405656258,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,Plant secondary metabolites in the flowers mediate their interactions with pollinators. We analyzed the variations in the floral secondary metabolites (FSMs) of three different flower color morphs (FCMs) of Lantana camara in relation to pollinator attraction. FSMs were characterized by GC–MS. Data analysis revealed no significant quantitative differences between the FCMs in the chemical classes and insect semiochemicals of the FSMs. The | abstract_prefill=pollination_mode,,
P1,Ipomopsis aggregata,Polemoniaceae,POLLINATION AND SEED PRODUCTION IN IPOMOPSIS AGGREGATA: DIFFERENCES AMONG AND WITHIN FLOWER COLOR MORPHS,10.1002/j.1537-2197.1988.tb14186.x,https://openalex.org/W1971610493,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,3,white;pink;red,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"The pollination of red, pink, and white color morphs of Ipomopsis aggregata was evaluated to assess whether ethological isolation based on pollinator color discrimination may occur. We observed animal visitors, assessed pollen delivery, seed set per fruit, percentage of flowers setting fruit, n | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode",,
P1,Medicago sativa,Fabaceae,Adaptive Mechanisms of White-Flowered Alfalfa (Medicago sativa L.) in High-Altitude Cold and Saline–Alkali Environments,10.3390/biology15050414,https://openalex.org/W7133356404,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,white,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"White-flowered alfalfa (Medicago sativa L.) persisting in Qinghai–Tibet Plateau’s saline–alkali habitats provides a unique model to explore floral color polymorphism-linked ecological adaptation. We systematically compared phenotypic, physiological, transcrip | abstract_prefill=colour_morphs",,
P1,Anemone pavonina,Ranunculaceae,Data for Heinze et al. (2026): Flower colour polymorphism in the peacock anemone ( Anemone pavonina ) reflects spatiotemporal variation in pollinator abundance. Am. J. Bot.,10.6084/m9.figshare.31301656,https://openalex.org/W7148717901,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"These are the raw data underlying the following publication:Heinze, J., C. J. Van der Kooi, G. Vogg, U. Jäger, and J. Spaethe. 2026. Flower colour polymorphism in the peacock anemone ( Anemone pavonina ) reflects spatiotemporal variation in pollinator abundance. American Journal of Botany. The worksheet ""Receptivity_Pollination_type"" includes all data used for the study of receptivity and cross-, geitonogamous, and au | abstract_prefill=pollination_mode;temporally_varying_selection",,
P1,Castilleja coccinea,Orobanchaceae,Floral bract color of Castilleja coccinea may influence seed viability,,https://openalex.org/W326681242,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,yellow;scarlet,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Castilleja coccinea is a native annual or biennial plant with showy scarlet or yellow bracts. Although much is known about the hemi-parasitic nature of the plant, little is understood about the influence of floral color polymorphisms of Ca | abstract_prefill=colour_morphs;n_colour_morphs",,
P1,Trillium sessile,Melanthiaceae,BIOCHEMICAL BASIS OF FLORAL COLOR POLYMORPHISM IN A HETEROCYANIC POPULATION OF TRILLIUM SESSILE (LILIACEAE),10.1002/j.1537-2197.1989.tb11280.x,https://openalex.org/W2007736589,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,3,pink;yellow;red,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"A study of flavonoids occurring within a heterocyanic population of Trillium sessile was made to determine the chemical basis of a common floral color polymorphism in this species. In the study population, three floral color phenotypes (red, pink, yellow) are determined primarily by the presence or abse | abstract_prefill=colour_morphs;n_colour_morphs",,
P1,Cirsium palustre,Asteraceae,The ecological genetics of flower colour variation in Cirsium palustre,10.5287/ora-mj5dwmwbx,https://openalex.org/W753206841,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;purple,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"The thistle Cirsium palustre exists over most of lowland Britain as a predominantly purple flowered species. However the populations of seacliffs and mountains exhibit a flower colour polymorphism, occurring as homozygous white morphs, homozygous a | abstract_prefill=colour_morphs;n_colour_morphs",,
P1,Lupinus polyphyllus,Fabaceae,"Bumblebee visits to different colour morphs of the Washington lupine, Lupinus polyphyllus",10.33338/ef.83851,https://openalex.org/W2201993718,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,3,white;blue;red,unknown,,,,insect,bumblebee,present,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"We examined the flower visits of bumblebees (Hymenoptera, Apoidea, Bomb us spp.) to Lupinus polyphyllus Lindley (Fabaceae) in southern Finland. The racemes of the plant bear nectarless flowers which appear in three main colour morphs, blue, red and white, of which blue is the most common. Blue inflorescences had the great | abstract_prefill=bumblebee_status;colour_morphs;dominant_pollinator_group;n_colour_morphs;pollination_mode",,
P1,Bixa orellana,Bixaceae,Floral Color Polymorphism and Reproductive Success in Annatto (Bixa orellana L.),10.1007/s12042-013-9128-y,https://openalex.org/W2089900994,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Floral Color Polymorphism and Reproductive Success in Annatto (Bixa orellana L.),,
P1,Cistus ladanifer,Cistaceae,Similar reproductive success of the two petal colour polymorphisms of Cistus ladanifer (Cistaceae),10.1080/11263504.2011.633111,https://openalex.org/W2131818600,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Similar reproductive success of the two petal colour polymorphisms of Cistus ladanifer (Cistaceae),,
P1,Orchis mascula,Orchidaceae,"Presence, distribution and effect of white, pink and purple morphs on pollination in the orchid Orchis mascula",10.14712/23361964.2015.15,https://openalex.org/W1618346641,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,3,white;pink;purple,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"tained in evolutionary time has long intrigued ecologists and is still debated. In particular, how floral colour polymorphism influences reproductive success is still poorly understood. Here, we investigated the case of Orchis mascula, a deceptive orchid species in which the presence of rare white-flowered individuals is known to increase the percentage pollination of co-occurring coloured morphs. In a brief review, we report all the orchid species f | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode",,
P1,Stellera chamaejasme,Thymelaeaceae,Canalized gene regulatory networks stabilize floral polymorphism and enable modular transgressive expression,10.64898/2026.04.16.719044,https://openalex.org/W7155106124,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"rphisms frequently persist across heterogeneous environments despite ongoing gene flow, yet the regulatory mechanisms maintaining discrete phenotypes remain unclear. We tested whether alternative flower-colour morphs in Stellera chamaejasme L. are maintained by canalized gene regulatory architectures that stabilize expression around morph-specific optima. We used a pan-transcriptomic and eco-evolutionary framework integrating genome-wide gene expression pr",,
