review_priority,canonical_name,family,best_title,best_doi,best_openalex_id,evidence_class,verification_status,outcome_state,within_population_polymorphism,geographic_mosaic,n_colour_morphs,colour_morphs,morph_frequency_reported,morph_frequency_data,population_count,sample_size,pollination_mode,dominant_pollinator_group,bumblebee_status,bumblebee_visitation_share,pollinator_richness,frequency_dependent_selection,directional_selection,spatially_varying_selection,temporally_varying_selection,abiotic_selection,herbivory_selection,mating_system,self_compatibility,genetic_basis,environmental_basis,study_region,latitude,longitude,island_status,native_or_introduced,evidence_level,full_text_status,review_notes,reviewer,review_date
P1,Leptosiphon parviflorus,Polemoniaceae,Gene Expression of Anthocyanin Pigments in the California Native Plant Leptosiphon parviflorus: Interactions Between Flower Color Morphology and Abiotic Stressors,,https://openalex.org/W7111452177,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"adaptation seen in plants is the production of anthocyanin pigments, which have been shown to protect plants from UV radiation, metabolic stress, and drought. In this study, we used the flower color polymorphic species Leptosiphon parviflorus to investigate the role of anthocyanin pigments in protecting plants from abiotic stress. To accomplish this, RNA samples were taken from flower, leaf and root tissue of different flower color morphs of Leptosiphon parv | abstract_prefill=abiotic_selection",,
P1,Collinsia heterophylla,Plantaginaceae,Floral scent and pollinator visitation in relation to floral colour morph in the mixed‐mating annual herb Collinsia heterophylla,10.1111/njb.03025,https://openalex.org/W3158771313,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"less investigated than other floral traits. Previous studies suggest the importance of joint exploration of olfactory and visual floral cues to understand plant–pollinator interactions. We investigated flower scents in Collinsia heterophylla , a bee‐pollinated, annual herb a with mixed‐mating system combining self‐ and outcross‐pollination. In Collinsia , floral size and development variation is related to mating system, ranging from large‐flowered mixed‐ma | abstract_prefill=pollination_mode",,
P1,Erythranthe discolor,Phrymaceae,"Conservation Genetics of Narrowly Distributed Annual, Erythranthe discolor (Phrymaceae), in the Southern Sierra Nevada",10.5642/cguetd.xmgu6936,https://openalex.org/W4414905322,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Erythranthe discolor is a rare, narrowly distributed annual, endemic to California and occurs in the southern Sierra Nevada in Kern and Tulare counties with known flower color polymorphisms. There are 133 known occurrences of E. discolor wi",,
P1,Parrya nudicaulis,Brassicaceae,Arctic Mustard Flower Color Polymorphism Controlled by Petal-Specific Downregulation at the Threshold of the Anthocyanin Biosynthetic Pathway,10.1371/journal.pone.0018230,https://openalex.org/W2145916438,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;purple,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,,,,unknown,unknown,abstract_prefilled_candidate,needed,"ochemical and molecular basis for the flower color variation and examining any pleiotropic effects manifested in vegetative tissues. Herein, we describe a widespread purple-white flower color polymorphism in the mustard Parrya nudicaulis spanning Alaska. The frequency of white-flowered individuals increases with increasing growing-season temperature, consistent with the role of anthocyanin pigments in stress tolerance. White petals fail to produce the s | abstract_prefill=abiotic_selection;colour_morphs;environmental_basis;n_colour_morphs",,
P1,Convolvulus arvensis,Convolvulaceae,Spatial patterns of flower colour variation in native and introduced ranges of Convolvulus arvensis (Convolvulaceae) revealed by citizen‐science data and machine learning,10.1111/plb.13537,https://openalex.org/W4376223817,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;pink,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"s. Investigation of this phenomenon led to multiple discoveries, including the principles of heredity and the foundations of population genetics. I examined flower colour variation across native and introduced ranges of Convolvulus arvensis, which exhibits flower colour polymorphism (individuals have white or pink petals). To study flower colour variation of this species throughout large geographic scale, I used observations gathered from the iNaturalist p | abstract_prefill=colour_morphs;n_colour_morphs",,
P1,Encelia farinosa,Asteraceae,Population structure and natural selection across a flower color polymorphism in the desert plant Encelia farinosa,10.1002/ajb2.16413,https://openalex.org/W4403034968,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,yellow,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"and history in structuring polymorphisms. METHODS: In this study, we combine field-sampling, genetics, climatic analyses, and machine learning to understand a flower color polymorphism in the wide-ranging desert annual Encelia farinosa. RESULTS: We find evidence for replicated transitions in disk floret color from brown to yellow across spatial scales, with the most prominent cline stretching ~100 km from southwestern United States into México. Becaus | abstract_prefill=colour_morphs",,
P1,Tecomella undulata,Bignoniaceae,Artificial intelligence-based classification of flower colour polymorphism for conservation and genetic resource management of Tecomella undulata (Sm) Seem,10.1017/s1479262125100440,https://openalex.org/W4417152542,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,3,yellow;red;orange,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Abstract Flower colour is a key trait shaping pollination, reproduction and plant–environment interactions. In arid ecosystems, it may also signal adaptations to heat and (Ultraviolet) UV stress. Tecomella undulata , a threatened keystone tree of the Indian Desert, exhibits striking flower colour polymorphism with yellow, orange and red morphs. This study tested whether artificial intelligence (AI) can reliably classify these morp | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode",,
P1,Rhododendron arboreum,Ericaceae,"Altitudinal variation in flower color and attraction pattern of Rhododendron arboreum Sm. in central Himalayan Region of Uttarakhand, India",10.1163/22238980-bja10061,https://openalex.org/W4281817580,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"ation and attraction as a mechanism for pollination and protection of floral parts. As part of this study, a survey relating to flower color variation and differences in spotting pattern (nectar guides) was conducted on Rhododendron arboreum , a widespread tree species in the mountainous region of Uttarakhand state, at 43 different altitudinal locations. Seven original color morphs of flowers and five types of spot variation in the nectar guide were observe | abstract_prefill=pollination_mode",,
P1,Geranium thunbergii,Geraniaceae,Development and characterization of nuclear microsatellite markers to reveal the neutral demographic background of flower color polymorphism in Geranium thunbergii (Geraniaceae),10.1266/ggs.20-00062,https://openalex.org/W3155587122,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Nuclear microsatellite markers were developed for Geranium thunbergii, an herbaceous plant characterized by petal color polymorphism. Utilizing RNA sequencing data obtained by next-generation sequencing techniques, we developed and characterized 19 polymorphic microsatellite markers with",,
P1,Corydalis cava,Papaveraceae,Do queens of bumblebee species differ in their choice of flower colour morphs of Corydalis cava (Fumariaceae)?,10.1007/s13592-014-0326-x,https://openalex.org/W2064420380,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;purple,unknown,,,,insect,bumblebee,present,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Bumblebee queens require a continuous supply of flowering food plants from early spring for the successful development of annual colonies. Early in spring, Corydalis cava provides essential nectar and pollen resources and a choice of flower colour. In this paper, we examine flower colour choice (purple or white) in C. cava and verify the hypothesis that bumblebee queens differ in their c | abstract_prefill=bumblebee_status;colour_morphs;dominant_pollinator_group;n_colour_morphs;pollination_mode",,
P1,Erythronium umbilicatum,Liliaceae,Evolution and Genetics of Floral Color Polymorphisms in Clarkia gracilis ssp. sonomensis and Erythronium umbilicatum,,https://openalex.org/W3034389613,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Evolution and Genetics of Floral Color Polymorphisms in Clarkia gracilis ssp. sonomensis and Erythronium umbilicatum,,
P1,Clarkia gracilis,Onagraceae,Evolution and Genetics of Floral Color Polymorphisms in Clarkia gracilis ssp. sonomensis and Erythronium umbilicatum,,https://openalex.org/W3034389613,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Evolution and Genetics of Floral Color Polymorphisms in Clarkia gracilis ssp. sonomensis and Erythronium umbilicatum,,
P1,Hepatica nobilis,Ranunculaceae,Flower color polymorphism in Hepatica nobilis var. japonica with reference to genetic backgrounds and reproductive success,10.14989/doctor.k21875,https://openalex.org/W2957429669,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Flower color polymorphism in Hepatica nobilis var. japonica with reference to genetic backgrounds and reproductive success,,
P1,Cicer arietinum,Fabaceae,Exploring the Genetic Diversity and Population Structure in Chickpea Cultivated Germplasm & Genetic Basis of Flower Color Polymorphism in Chickpea (Cicer arietinum L.),,https://openalex.org/W3004089170,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,Exploring the Genetic Diversity and Population Structure in Chickpea Cultivated Germplasm & Genetic Basis of Flower Color Polymorphism in Chickpea (Cicer arietinum L.) | abstract_prefill=genetic_basis,,
P1,Butomus umbellatus,Butomaceae,Asymmetric pollen–pistil interactions contribute to maintaining floral colour polymorphism in a clonal aquatic plant (Butomus umbellatus L.),10.1016/j.aquabot.2012.12.007,https://openalex.org/W2025476323,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Asymmetric pollen–pistil interactions contribute to maintaining floral colour polymorphism in a clonal aquatic plant (Butomus umbellatus L.),,
P1,Geranium nepalense,Geraniaceae,Flower Colour Polymorphism in Geranium nepalense (Geraniaceae): Adaptation to Non-Pollinator Agents,10.3161/15052249pje2016.64.4.007,https://openalex.org/W2588750614,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;pink,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,,,,unknown,unknown,abstract_prefilled_candidate,needed,"ABSTRACT Flower colour polymorphism is attributed to pollinator or non-pollinator mediated selection. Geranium nepalense has common white morph and very rare pink morph. We compared pollinator visitation frequencies, temperature and soil moisture between two morphs in the mixed morph population. We also compared morph ratio and reproducti | abstract_prefill=abiotic_selection;colour_morphs;environmental_basis;n_colour_morphs;pollination_mode",,
P1,Leavenworthia stylosa,Brassicaceae,Reproductive character displacement shapes a spatially structured petal color polymorphism in Leavenworthia stylosa,10.1111/evo.12659,https://openalex.org/W2005881429,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;yellow,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"cological character displacement) or the risk of forming hybrids with reduced fitness (reproductive character displacement). We test these and alternative hypotheses to explain a yellow-white petal color polymorphism in Leavenworthia stylosa, where yellow morphs are spatially associated with a white-petaled congener (Leavenworthia exigua) that produces hybrids with complete pollen sterility. A reciprocal transplant experiment found limited evidence of local | abstract_prefill=colour_morphs;n_colour_morphs",,
P1,Leptocereus scopulophilus,Cactaceae,"Flower morphs in Leptocereus scopulophilus (Cactaceae) and their reproductive success in Pan de Matanzas, Cuba",10.25223/brad.n40.2022.a1,https://openalex.org/W4280574450,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,yes,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Flower colour polymorphism is one of the most attractive features in pollination studies. This article investigates the factors influencing the frequency of flower colour polymorphism in the Cuban cactus Leptocereus scopulophilus, where four flower morphs have been reported. We determined whether the colour of the tepals is a discrete variable and estimated morphs frequency in the population. To explain the frequencies of the flower morphs, we c | abstract_prefill=morph_frequency_reported;pollination_mode",,
P1,Lupinus perennis,Fabaceae,Effects of Flower Color on Pollination and Seed Production in Lupinus Perennis,,https://openalex.org/W3041830603,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,white;blue,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"We examined how flower color morphs (blue vs white) in Lupinus perennis affect the probability of a flower setting fruit, average mass of a seed produced, and average number of seeds per pod. | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode",,
P1,Narcissus pseudonarcissus,Amaryllidaceae,Transcriptome Sequencing and Biochemical Analysis of Perianths and Coronas Reveal Flower Color Formation in Narcissus pseudonarcissus,10.3390/ijms19124006,https://openalex.org/W2904598959,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,4,white;yellow;red;orange,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Narcissus pseudonarcissus is an important bulbous plant with white or yellow perianths and light yellow to orange-red coronas, but little is known regarding the biochemical and molecular basis related to flower color polymorphisms. To investigat | abstract_prefill=colour_morphs;n_colour_morphs",,
P1,Viola diversifolia,Violaceae,Polymorphisme morphologique chez le pollen et la fleur de Viola diversifolia (Gingins) Becker,10.1080/01811789.1990.10827015,https://openalex.org/W2033544458,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"Click to increase image sizeClick to decrease image sizeSummaryPollen and flower color polymorphism were both found in Viola diversifolia. In all populations studied, 3, 4, 5 and 6-apertured pollen grains were observed. The proportions of these four morphs did not differ significantly between flowers of the same individual, nor between individuals of the",,
P1,Haageocereus acranthus,Cactaceae,Mixed-vertebrate pollination traits and pollinators of Haageocereus acranthus (Cactaceae) in a lomas desert ecosystem of coastal Peru,10.64898/2026.01.08.698271,https://openalex.org/W7119625742,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"s mixed strategy could reduce vulnerability to the absence or decline of specific pollinator groups, ensuring consistent reproductive success. Key message In a lomas desert ecosystem of coastal Peru, the columnar cactus Haageocereus acranthus shows traits and interactions consistent with a mixed-vertebrate pollination system (hummingbirds and bats), with no detectable differences between flower color morphotypes in either traits or interactions. | abstract_prefill=pollination_mode",,
P1,Mirabilis jalapa,Nyctaginaceae,"Betalain Color Morphs Exhibit Differential Growth, Defensive Ability, and Pollen Tube Growth Rates in Mirabilis jalapa (Nyctaginaceae)",10.1086/673245,https://openalex.org/W2065776166,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"heir phylogenetic counterparts, the anthocyanins, do.Methodology. We measured floral and leaf betalain concentrations and several phenological and performance traits in four floral color morphs of horticultural lines of Mirabilis jalapa (Nyctaginaceae). We also performed herbivore assays and measured pollen tube length in situ to investigate the role of betalain concentration in defense and prezygotic barriers among the floral color morphs.Pivotal resu | abstract_prefill=herbivory_selection",,
P1,Aloe petricola,Asphodelaceae,"Does colour matter? Flower colour polymorphism, pollinator visitation and reproductive success in the endemic Aloe petricola",10.1016/j.sajb.2018.02.109,https://openalex.org/W2796240393,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Does colour matter? Flower colour polymorphism, pollinator visitation and reproductive success in the endemic Aloe petricola | abstract_prefill=pollination_mode",,
P1,Hydrophyllum appendiculatum,Hydrophyllaceae,Reproductive Consequences of a Flower Color Polymorphism in Hydrophyllum appendiculatum,10.2307/2426522,https://openalex.org/W2313736393,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Reproductive Consequences of a Flower Color Polymorphism in Hydrophyllum appendiculatum,,
P1,Pleione limprichtii,Orchidaceae,Comparative Transcriptomics Provides Insight into Floral Color Polymorphism in a Pleione limprichtii Orchid Population,10.3390/ijms21010247,https://openalex.org/W2997206648,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,Comparative Transcriptomics Provides Insight into Floral Color Polymorphism in a Pleione limprichtii Orchid Population,,
P1,Gentiana lutea,Gentianaceae,Differences in pollination success between local and foreign flower color phenotypes: a translocation experiment with Gentiana lutea (Gentianaceae),10.7717/peerj.2882,https://openalex.org/W2474042264,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,yellow;orange,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,Background The adaptive maintenance of flower color variation is frequently attributed to pollinators partly because they preferentially visit certain flower phenotypes. We tested whether Gentiana lutea —which shows a flower color variation (from orange to yellow) in the Cantabrian Mountains range (north of Spain)—is locally adapted to the pollinator community. Methods We transplanted orange-flowering individuals to a | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode,,
P1,Lysimachia arvensis,Primulaceae,Flower colour segregation and flower discrimination under the bee vision model in the polymorphic Lysimachia arvensis,10.6084/m9.figshare.9848495,https://openalex.org/W4394516990,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,2,blue;red,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"Floral colour determines pollinator behaviour, strongly affecting plant-mating systems. Lysimachia arvensis has blue- and red-flowered plants and colour inheritance remains largely unknown. A control of floral colour based on one locus, with the red allele as dominant, has been proposed. This proposal cannot explain the spora | abstract_prefill=colour_morphs;n_colour_morphs;pollination_mode",,
P1,Digitalis purpurea,Plantaginaceae,Flower color variation in Digitalis purpurea,10.6084/m9.figshare.29095451.v1,https://openalex.org/W7130406677,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,In this study we evaluated the effects of biotic (pollinators) and abiotic (soil nutrients) on flower color variation of Digitalis purpurea in three native populations from Sweden and two introduced populations from Bolivia. | abstract_prefill=abiotic_selection;pollination_mode,,
P1,Phlox drummondii,Polemoniaceae,MOLECULAR SIGNATURES OF SELECTION ON REPRODUCTIVE CHARACTER DISPLACEMENT OF FLOWER COLOR IN PHLOX DRUMMONDII,10.1111/j.1558-5646.2011.01452.x,https://openalex.org/W1519665771,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"s been observed in a wide variety of plants and animals. A classic example of reproductive character displacement, presumed to be caused by reinforcing selection, is flower-color variation in the native Texas wildflower Phlox drummondii. Here, we use population genetic analyses to investigate molecular signatures of selection on flower-color variation in this species. First, we quantify patterns of neutral genetic variation across the range of P. drumm",,
P1,Lobelia siphilitica,Campanulaceae,"Pollinators, Herbivores, and the Maintenance of Flower Color Variation: A Case Study with Lobelia siphilitica",10.1086/656511,https://openalex.org/W2077295153,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"nd the agents of selection on flower color have rarely been estimated. We estimated selection by pollinators and a predispersal seed predator on the three fundamental components of color (brightness, chroma, and hue) of Lobelia siphilitica flowers. We compared phenotypic selection on flowers of supplemental hand- versus open-pollinated plants to infer whether pollinators were an agent of selection on color. We compared attacked and unattacked plants to in | abstract_prefill=herbivory_selection;pollination_mode",,
P1,Mimulus ringens,Phrymaceae,Floral colour variation across life history and geography in Mimulus ringens (Phrymaceae),10.1093/botlinnean/boad065,https://openalex.org/W4393339809,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"es that result in temporal or ecogeographic isolation. We investigate the possibility that both floral colour and life history have shifted together in a recently described, genetically distinct group within the species Mimulus ringens. Using a large, range-wide citizen science dataset, we test for geographic trends in flower colour and flowering time. We combine this with greenhouse studies in populations of known life history to test for differences",,
P1,Arabidopsis thaliana,Brassicaceae,Genetic Mechanisms Behind Flower Color Variation in Caulanthus Amplexicaulis var. Amplexicaulis (CAA) and Caulanthus Amplexicaulis var. Barbarae (CAB),,https://openalex.org/W1217664957,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,title_abstract_candidate,needed,"te the gene for flower color in two species of the flower C. amplexicaulis, CAA and CAB, by looking for sequence similarity between the Caulanthus genome and known transcription factors involved in pigment production in Arabidopsis thaliana using plants from the family Brassicaceae as intermediates. Once a high degree of similarity was found in a region of the CAB and CAA genomes, a gene model was developed to achieve an understanding of why CAA is a diffe",,
P1,Claytonia virginica,Montiaceae,OPPOSING NATURAL SELECTION FROM HERBIVORES AND PATHOGENS MAY MAINTAIN FLORAL-COLOR VARIATION IN CLAYTONIA VIRGINICA (PORTULACACEAE),10.1111/j.0014-3820.2004.tb00872.x,https://openalex.org/W2142851853,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"direct responses to selection on correlated characters through agents of selection other than pollinators may substantially shape the evolution of floral traits. Here, I provide empirical support for this latter view in Claytonia virginica (Portulacaceae) through a multiseason field study, a pollen supplementation study, and an artificial herbivory experiment. These studies show that most individuals fall into one of four discrete color classes, and sugge | abstract_prefill=herbivory_selection;pollination_mode",,
P1,Clarkia xantiana,Onagraceae,Frequency–dependent pollinator foraging in polymorphic Clarkia xantiana ssp. xantiana populations: implications for flower colour evolution and pollinator interactions,10.1111/j.0030-1299.2006.14289.x,https://openalex.org/W2030950602,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"g by some pollinator species, possibly contributing to the maintenance of flower colour variation by negative frequency–dependent selection. We addressed this idea with pollination studies of the California annual plant Clarkia xantiana ssp. xantiana (Onagraceae), which is polymorphic for the presence of conspicuous petal spots and is pollinated by several specialist bee species. At the level of entire pollinator assemblages, we did not detect signific | abstract_prefill=pollination_mode",,
P2,Heliconia irrasa,Heliconiaceae,Long-Tailed Hermit Hummingbird Visits to Inflorescence Color Morphs of Heliconia irrasa,10.2307/1367077,https://openalex.org/W2328833611,natural_polymorphism,pending_primary_review,unknown,yes,unknown,2,yellow;red,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,wild_population_reported,abstract_prefilled_candidate,needed,Visits by Long-tailed Hermit hummingbirds (Phaethornis superciliosus) to flowers of different inflorescence color morphs in a natural population of Heliconia irrasa were monitored indirectly using fluorescent powder. The two color morphs (red and yellow) were indistinguishable with respect to amount and rate of reward (nectar) offered to pollinators. The birds did not appear to pre | abstract_prefill=colour_morphs;n_colour_morphs;native_or_introduced;pollination_mode;within_population_polymorphism,,
P3,Curcuma caulina,Zingiberaceae,"A tale of three morphs: Nectar, reproductive compatibility, and morph abundance explain reproductive success within a polymorphic ginger from Western Ghats, India",10.5281/zenodo.20630411,https://openalex.org/W7164497158,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"B PLANTS. Manuscript ID: AOBP-2025-152.R2. ## Dataset overview This archive contains the data and R analysis code associated with the above manuscript. The study examines bract-colour polymorphism in the ginger species *Curcuma caulina* from the Western Ghats, India. The dataset includes measurements of bract-colour morph abundance, floral and vegetative morphology, nectar reward, nocturnal pollinator visitation, reproductive compatibility, and natura | abstract_prefill=pollination_mode",,
P3,Phlox cuspidata,Polemoniaceae,The Cost of Reinforcement: Selection on Flower Color in Allopatric Populations of Phlox drummondii,10.1086/675495,https://openalex.org/W2136138417,natural_polymorphism,pending_primary_review,unknown,unknown,unknown,,,unknown,,,,insect_or_mixed,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,unknown,unknown,abstract_prefilled_candidate,needed,"erring greater reproductive isolation from spreading into allopatry. We investigate flower color divergence in the wildflower Phlox drummondii, which is caused by reinforcement in the regions sympatric with its congener Phlox cuspidata. Specifically, we performed common garden field experiments and pollinator observations to estimate selection acting on flower color variation in allopatry. We combine our estimates of maternal and paternal fitness usin | abstract_prefill=pollination_mode",,
