analysis_set,metric,omitted_family,estimate,odds_ratio
all_evidence_classified,pca_hull_area,Asparagaceae,-0.4519260763497805,0.6364012130869326
all_evidence_classified,pca_hull_area,Asteraceae,-0.4390329096565833,0.6446595637558433
all_evidence_classified,pca_hull_area,Brassicaceae,-0.46876533458288966,0.6257744135414008
all_evidence_classified,pca_hull_area,Cactaceae,-0.5343094809638367,0.5860738455990814
all_evidence_classified,pca_hull_area,Calceolariaceae,-0.6933563083584138,0.49989544703361266
all_evidence_classified,pca_hull_area,Campanulaceae,-0.5463112823014488,0.5790819453616347
all_evidence_classified,pca_hull_area,Caryophyllaceae,-0.5456230928661756,0.5794806005980173
all_evidence_classified,pca_hull_area,Convolvulaceae,-0.47090337103038704,0.6244379142885125
all_evidence_classified,pca_hull_area,Ericaceae,-0.3769441379483188,0.6859543916454331
all_evidence_classified,pca_hull_area,Fabaceae,-0.5337385601329384,0.5864085428997178
all_evidence_classified,pca_hull_area,Heliconiaceae,-0.499411624007212,0.6068876327985968
all_evidence_classified,pca_hull_area,Iridaceae,-0.45953696571333363,0.6315760191636974
all_evidence_classified,pca_hull_area,Nyctaginaceae,-0.41584685499709706,0.6597813049575922
all_evidence_classified,pca_hull_area,Orchidaceae,-0.5419232768188453,0.5816285432694082
all_evidence_classified,pca_hull_area,Orobanchaceae,-0.5096260278054755,0.600720189458127
all_evidence_classified,pca_hull_area,Papaveraceae,-0.6251932817090473,0.5351579822727547
all_evidence_classified,pca_hull_area,Phrymaceae,-0.4815569933964232,0.6178206997983139
all_evidence_classified,pca_hull_area,Plantaginaceae,-0.697421806555478,0.4978672486070512
all_evidence_classified,pca_hull_area,Polemoniaceae,-0.7196835330041442,0.48690632136116285
all_evidence_classified,pca_hull_area,Primulaceae,-0.5661933170023224,0.5676823174440305
all_evidence_classified,pca_hull_area,Ranunculaceae,-0.5880064385271688,0.5554334725130023
all_evidence_classified,pca_hull_area,Schisandraceae,-0.4794852716114097,0.6191019791702379
all_evidence_classified,pca_hull_area,Solanaceae,-0.576973983486658,0.5615951942879875
all_evidence_classified,pca_hull_area,Thymelaeaceae,-0.5224291871574158,0.5930780989888339
all_evidence_classified,pca_hull_area,Verbenaceae,-0.464697370966092,0.6283252258762569
all_evidence_classified,moisture_breadth,Asparagaceae,-1.0982626397231001,0.33344990335977565
all_evidence_classified,moisture_breadth,Asteraceae,-1.0969105543564277,0.33390106102773576
all_evidence_classified,moisture_breadth,Brassicaceae,-1.2255646584509572,0.2935918743774283
all_evidence_classified,moisture_breadth,Cactaceae,-1.3286646927180297,0.26483065560523805
all_evidence_classified,moisture_breadth,Calceolariaceae,-1.344901236189153,0.2605654410251326
all_evidence_classified,moisture_breadth,Campanulaceae,-1.1930879381405455,0.30328329656036773
all_evidence_classified,moisture_breadth,Caryophyllaceae,-1.1092377623926999,0.32981025907136785
all_evidence_classified,moisture_breadth,Convolvulaceae,-1.2048323928581346,0.2997422342424568
all_evidence_classified,moisture_breadth,Ericaceae,-1.0555280060726049,0.34800862811795874
all_evidence_classified,moisture_breadth,Fabaceae,-1.3224690248286657,0.2664765518425384
all_evidence_classified,moisture_breadth,Heliconiaceae,-1.0522683150173515,0.3491448796385336
all_evidence_classified,moisture_breadth,Iridaceae,-1.1777365703239038,0.3079750301230964
all_evidence_classified,moisture_breadth,Nyctaginaceae,-1.0909024838990569,0.33591320061371766
all_evidence_classified,moisture_breadth,Orchidaceae,-1.02345622046009,0.3593507958201206
all_evidence_classified,moisture_breadth,Orobanchaceae,-1.2455136377021816,0.2877930488006679
all_evidence_classified,moisture_breadth,Papaveraceae,-1.4003115517086138,0.24652014820281018
all_evidence_classified,moisture_breadth,Phrymaceae,-1.1314133547868825,0.32257701831207214
all_evidence_classified,moisture_breadth,Plantaginaceae,-1.3353963541915828,0.26305389227804
all_evidence_classified,moisture_breadth,Polemoniaceae,-1.2989793224505237,0.2728101021244397
all_evidence_classified,moisture_breadth,Primulaceae,-1.3000485268708573,0.27251856823976905
all_evidence_classified,moisture_breadth,Ranunculaceae,-1.30630028414032,0.270820162840632
all_evidence_classified,moisture_breadth,Schisandraceae,-1.2047766488924363,0.29975894352899735
all_evidence_classified,moisture_breadth,Solanaceae,-1.2556827456405393,0.2848812803595941
all_evidence_classified,moisture_breadth,Thymelaeaceae,-1.3276597369556975,0.2650969324744576
all_evidence_classified,moisture_breadth,Verbenaceae,-1.0824602143709148,0.3387610747373933
baseline_unambiguous_only,pca_hull_area,Asparagaceae,-0.4519260763497805,0.6364012130869326
baseline_unambiguous_only,pca_hull_area,Asteraceae,-0.4390329096565833,0.6446595637558433
baseline_unambiguous_only,pca_hull_area,Brassicaceae,-0.46876533458288966,0.6257744135414008
baseline_unambiguous_only,pca_hull_area,Cactaceae,-0.5343094809638367,0.5860738455990814
baseline_unambiguous_only,pca_hull_area,Calceolariaceae,-0.6933563083584138,0.49989544703361266
baseline_unambiguous_only,pca_hull_area,Campanulaceae,-0.5463112823014488,0.5790819453616347
baseline_unambiguous_only,pca_hull_area,Caryophyllaceae,-0.5456230928661756,0.5794806005980173
baseline_unambiguous_only,pca_hull_area,Convolvulaceae,-0.47090337103038704,0.6244379142885125
baseline_unambiguous_only,pca_hull_area,Ericaceae,-0.3769441379483188,0.6859543916454331
baseline_unambiguous_only,pca_hull_area,Fabaceae,-0.5337385601329384,0.5864085428997178
baseline_unambiguous_only,pca_hull_area,Heliconiaceae,-0.499411624007212,0.6068876327985968
baseline_unambiguous_only,pca_hull_area,Iridaceae,-0.45953696571333363,0.6315760191636974
baseline_unambiguous_only,pca_hull_area,Nyctaginaceae,-0.41584685499709706,0.6597813049575922
baseline_unambiguous_only,pca_hull_area,Orchidaceae,-0.5419232768188453,0.5816285432694082
baseline_unambiguous_only,pca_hull_area,Orobanchaceae,-0.5096260278054755,0.600720189458127
baseline_unambiguous_only,pca_hull_area,Papaveraceae,-0.6251932817090473,0.5351579822727547
baseline_unambiguous_only,pca_hull_area,Phrymaceae,-0.4815569933964232,0.6178206997983139
baseline_unambiguous_only,pca_hull_area,Plantaginaceae,-0.697421806555478,0.4978672486070512
baseline_unambiguous_only,pca_hull_area,Polemoniaceae,-0.7196835330041442,0.48690632136116285
baseline_unambiguous_only,pca_hull_area,Primulaceae,-0.5661933170023224,0.5676823174440305
baseline_unambiguous_only,pca_hull_area,Ranunculaceae,-0.5880064385271688,0.5554334725130023
baseline_unambiguous_only,pca_hull_area,Schisandraceae,-0.4794852716114097,0.6191019791702379
baseline_unambiguous_only,pca_hull_area,Solanaceae,-0.576973983486658,0.5615951942879875
baseline_unambiguous_only,pca_hull_area,Thymelaeaceae,-0.5224291871574158,0.5930780989888339
baseline_unambiguous_only,pca_hull_area,Verbenaceae,-0.464697370966092,0.6283252258762569
baseline_unambiguous_only,moisture_breadth,Asparagaceae,-1.0982626397231001,0.33344990335977565
baseline_unambiguous_only,moisture_breadth,Asteraceae,-1.0969105543564277,0.33390106102773576
baseline_unambiguous_only,moisture_breadth,Brassicaceae,-1.2255646584509572,0.2935918743774283
baseline_unambiguous_only,moisture_breadth,Cactaceae,-1.3286646927180297,0.26483065560523805
baseline_unambiguous_only,moisture_breadth,Calceolariaceae,-1.344901236189153,0.2605654410251326
baseline_unambiguous_only,moisture_breadth,Campanulaceae,-1.1930879381405455,0.30328329656036773
baseline_unambiguous_only,moisture_breadth,Caryophyllaceae,-1.1092377623926999,0.32981025907136785
baseline_unambiguous_only,moisture_breadth,Convolvulaceae,-1.2048323928581346,0.2997422342424568
baseline_unambiguous_only,moisture_breadth,Ericaceae,-1.0555280060726049,0.34800862811795874
baseline_unambiguous_only,moisture_breadth,Fabaceae,-1.3224690248286657,0.2664765518425384
baseline_unambiguous_only,moisture_breadth,Heliconiaceae,-1.0522683150173515,0.3491448796385336
baseline_unambiguous_only,moisture_breadth,Iridaceae,-1.1777365703239038,0.3079750301230964
baseline_unambiguous_only,moisture_breadth,Nyctaginaceae,-1.0909024838990569,0.33591320061371766
baseline_unambiguous_only,moisture_breadth,Orchidaceae,-1.02345622046009,0.3593507958201206
baseline_unambiguous_only,moisture_breadth,Orobanchaceae,-1.2455136377021816,0.2877930488006679
baseline_unambiguous_only,moisture_breadth,Papaveraceae,-1.4003115517086138,0.24652014820281018
baseline_unambiguous_only,moisture_breadth,Phrymaceae,-1.1314133547868825,0.32257701831207214
baseline_unambiguous_only,moisture_breadth,Plantaginaceae,-1.3353963541915828,0.26305389227804
baseline_unambiguous_only,moisture_breadth,Polemoniaceae,-1.2989793224505237,0.2728101021244397
baseline_unambiguous_only,moisture_breadth,Primulaceae,-1.3000485268708573,0.27251856823976905
baseline_unambiguous_only,moisture_breadth,Ranunculaceae,-1.30630028414032,0.270820162840632
baseline_unambiguous_only,moisture_breadth,Schisandraceae,-1.2047766488924363,0.29975894352899735
baseline_unambiguous_only,moisture_breadth,Solanaceae,-1.2556827456405393,0.2848812803595941
baseline_unambiguous_only,moisture_breadth,Thymelaeaceae,-1.3276597369556975,0.2650969324744576
baseline_unambiguous_only,moisture_breadth,Verbenaceae,-1.0824602143709148,0.3387610747373933
