review_id,canonical_name,family,classification_source_id,queue_best_doi,queue_best_openalex_id,queue_best_title,evidence_excerpt,source_match_status,reviewer_label,reviewer_name_or_initials,review_date,review_notes
JBI-001,Agave lechuguilla,Asparagaceae,10.3732/ajb.90.3.377,10.3732/ajb.90.3.377,https://openalex.org/W2092683630,"Geographic patterns in the reproductive ecology of Agave lechuguilla (Agavaceae) in the Chihuahuan desert. I. Floral characteristics, visitors, and fecundity","Geographic patterns in the reproductive ecology of Agave lechuguilla (Agavaceae) in the Chihuahuan desert. I. Floral characteristics, visitors, and fecundity. ors. Differences among populations in the expression of floral characters could result from natural selection for their adaptive value to local conditions. We describe the patterns of variation of flower morphology, color, and fecundity of Agave lechuguilla in 11 populations along a latitudinal gradient encompassing the whole range of the species in the Chihuahuan desert. We found a latitudinal pattern in flower shape and color. Flowers tended to be shorter, more open, and colorful toward the",matches_queue_best_doi,,,,
JBI-002,Anemone palmata,Ranunculaceae,10.1111/plb.13702,10.1111/plb.13702,https://openalex.org/W4402126765,Pollinator response to yellow UV ‐patterned versus white UV ‐patternless flower dimorphism in Anemone palmata,"Flower colour polymorphisms are uncommon but widespread among angiosperms and can be maintained by a variety of balancing selection mechanisms. Anemone palmata is mostly yellow-flowered, but white-flowered plants coexist in some populations. We analysed the distribution of colour morphs of A. palmata across its range. We also characterised their colours and compared their vege",matches_queue_best_doi,,,,
JBI-003,Antirrhinum majus,Plantaginaceae,10.15479/at:ista:th_526,10.15479/at:ista:th_526,https://openalex.org/W2954960215,The role of pollinator-mediated selection in the maintenance of a flower color polymorphism in an Antirrhinum majus hybrid zone,"been tested by selection. This provides an excellent opportunity to test the effect of mo- lecular variation on fitness, and how this variation is able to spread through populations in a natural context. The snapdragon Antirrhinum majus is polymorphic in the wild for two loci controlling the distribution of yellow and magenta floral pigments. Where the yellow A. m. striatum and the magenta A. m. pseudomajus meet along a valley in the Spanish Pyren- ees",matches_queue_best_doi,,,,
JBI-004,Aquilegia coerulea,Ranunculaceae,10.1093/aob/mcv028,10.1093/aob/mcv028,https://openalex.org/W2145222715,"The role of pollinators in maintaining variation in flower colour in the Rocky Mountain columbine, Aquilegia coerulea","The role of pollinators in maintaining variation in flower colour in the Rocky Mountain columbine, Aquilegia coerulea. BACKGROUND AND AIMS: Flower colour varies within and among populations of the Rocky Mountain columbine, Aquilegia coerulea, in conjunction with the abundance of its two major pollinators, hawkmoths and bumble-bees. This study seeks to understand whether the choice of flower colour by these major pollinators can help explain the variation in",matches_queue_best_doi,,,,
JBI-005,Bletilla striata,Orchidaceae,10.3390/ijms26083555,10.3390/ijms26083555,https://openalex.org/W4409335954,Resequencing and Functional Analysis Revealed That BsDFR4 Could Cause the Formation of Different Flower Colors in Bletilla striata (Orchidaceae),"The formation of flower color is closely related to anthocyanin synthesis. In this study, flowers of Bletilla striata (Orchidaceae) exhibiting distinct color morphs were collected and analyzed. The HPLC results showed significantly higher total flavonoid and anthocyanin contents in purple flowers compared to pink counterparts, with inc",matches_queue_best_doi,,,,
JBI-006,Calceolaria uniflora,Calceolariaceae,10.1007/s00606-003-0083-1,10.1007/s00606-003-0083-1,https://openalex.org/W2016058514,Geographic variation in flower color patterns within Calceolaria uniflora Lam. in Southern Patagonia,Geographic variation in flower color patterns within Calceolaria uniflora Lam. in Southern Patagonia. Geographic variation in flower color patterns within Calceolaria uniflora Lam. in Southern Patagonia,matches_queue_best_doi,,,,
JBI-007,Campanula americana,Campanulaceae,10.3389/fpls.2020.00991,10.3389/fpls.2020.00991,https://openalex.org/W3039231158,Geographic Variation in Floral Color and Reflectance Correlates With Temperature and Colonization History,"Geographic Variation in Floral Color and Reflectance Correlates With Temperature and Colonization History. roductive structures. Additionally, flower color may evolve to attract the dominant or most efficient pollinator type in a given population. Here, we evaluate geographic variation in petal coloration across the range of Campanula americana in Eastern North America and test whether color covaries with abiotic factors, the pollination community, and genetic structure established through post-glacial expansion. Consistent with other studies, flowers from coo || The role of pollinator preference in the maintenance of pollen colour variation. BACKGROUND AND AIMS: Pollinators often drive the evolution of floral traits, but their capacity to influence the evolution of pollen colour remains unclear. Pollen colour in Campanula americana is variable and displays a longitudinal cline from prevalence of deep purple in western populations to white and light-purple pollen in eastern populations. While selection for thermal tolerance probably underlies darke || Geographic variation in pollen color is associated with temperature stress. of pollen pigmentation, though it varies among and within species and its biochemical properties affect pollen viability. We characterize the distribution of pollen color across 24 populations of the North American herb Campanula americana, and assess the degree to which this variation is genetically based. We identify abiotic factors that covary with pollen color and test whether germination of light and dark pollen is differentially affected by variable",matches_queue_best_doi,,,,
JBI-008,Convolvulus arvensis,Convolvulaceae,10.1111/plb.13537,10.1111/plb.13537,https://openalex.org/W4376223817,Spatial patterns of flower colour variation in native and introduced ranges of Convolvulus arvensis (Convolvulaceae) revealed by citizen‐science data and machine learning,"s. Investigation of this phenomenon led to multiple discoveries, including the principles of heredity and the foundations of population genetics. I examined flower colour variation across native and introduced ranges of Convolvulus arvensis, which exhibits flower colour polymorphism (individuals have white or pink petals). To study flower colour variation of this species throughout large geographic scale, I used observations gathered from the iNaturalist p",matches_queue_best_doi,,,,
JBI-009,Corydalis cava,Papaveraceae,10.1007/s13592-014-0326-x,10.1007/s13592-014-0326-x,https://openalex.org/W2064420380,Do queens of bumblebee species differ in their choice of flower colour morphs of Corydalis cava (Fumariaceae)?,"Bumblebee queens require a continuous supply of flowering food plants from early spring for the successful development of annual colonies. Early in spring, Corydalis cava provides essential nectar and pollen resources and a choice of flower colour. In this paper, we examine flower colour choice (purple or white) in C. cava and verify the hypothesis that bumblebee queens differ in their c",matches_queue_best_doi,,,,
JBI-010,Dactylorhiza sambucina,Orchidaceae,10.3390/d15020179,10.3390/d15020179,https://openalex.org/W4318475531,"Monitoring of Dactylorhiza sambucina (L.) Soó (Orchidaceae)—Variation in Flowering, Flower Colour Morph Frequencies, and Erratic Population Census Trends","Central questions of reproductive research on Dactylorhiza sambucina (Orchidaceae) are, if and how pollinator-mediated negative frequency dependent selection might maintain its flower colour polymorphism. As this hypothesis was based on artificial populations, it needs to be verified und",matches_queue_best_doi,,,,
JBI-011,Disa porrecta,Orchidaceae,10.1093/aob/mcaf074,10.1093/aob/mcaf074,https://openalex.org/W4409528104,Geographical variation in flower colour of a food-deceptive orchid reflects local pollinator preferences,"Geographical variation in flower colour of a food-deceptive orchid reflects local pollinator preferences. BACKGROUND AND AIMS: Intraspecific variation in floral traits can reflect shifts among different pollinator niches. We investigated whether a geographical mosaic of pollinator niches can explain divergence of flower colour and morphology among populations of Disa porrecta, a food-deceptive orchid in South Africa. METHODS: We used field observations and pollen load analysis to establish pollinators of D. porrecta and measured spectral reflectance, morphology and scent emissions in populations. We used reciprocal translocation e",matches_queue_best_doi,,,,
JBI-012,Encelia farinosa,Asteraceae,10.1002/ajb2.16413,10.1002/ajb2.16413,https://openalex.org/W4403034968,Population structure and natural selection across a flower color polymorphism in the desert plant Encelia farinosa,"and history in structuring polymorphisms. METHODS: In this study, we combine field-sampling, genetics, climatic analyses, and machine learning to understand a flower color polymorphism in the wide-ranging desert annual Encelia farinosa. RESULTS: We find evidence for replicated transitions in disk floret color from brown to yellow across spatial scales, with the most prominent cline stretching ~100 km from southwestern United States into México. Becaus",matches_queue_best_doi,,,,
JBI-013,Eschscholzia californica,Papaveraceae,10.1007/bf00989403,10.1007/bf00989403,https://openalex.org/W1967093324,Polymorphism and geographic variation of flower color in chilean populations ofEschscholzia californica,Polymorphism and geographic variation of flower color in chilean populations ofEschscholzia californica. Polymorphism and geographic variation of flower color in chilean populations ofEschscholzia californica,matches_queue_best_doi,,,,
JBI-014,Heliconia irrasa,Heliconiaceae,10.2307/1367077,10.2307/1367077,https://openalex.org/W2328833611,Long-Tailed Hermit Hummingbird Visits to Inflorescence Color Morphs of Heliconia irrasa,Visits by Long-tailed Hermit hummingbirds (Phaethornis superciliosus) to flowers of different inflorescence color morphs in a natural population of Heliconia irrasa were monitored indirectly using fluorescent powder. The two color morphs (red and yellow) were indistinguishable with respect to amount and rate of reward (nectar) offered to pollinators. The birds did not appear to pre,matches_queue_best_doi,,,,
JBI-015,Hesperis matronalis,Brassicaceae,10.1093/aob/mcn181,10.1093/aob/mcn181,https://openalex.org/W2160805784,The Impact of Biochemistry vs. Population Membership on Floral Scent Profiles in Colour Polymorphic Hesperis matronalis,"the relative effects of shared biochemistry and/or localized population-level phenomena on floral scent phenotype, floral scent composition and emission rate were examined in five wild populations of colour polymorphic Hesperis matronalis (Brassicaceae). METHODS: Floral scent was collected by in situ dynamic headspace extraction on purple and white colour morphs in each of five wild populations. Gas chromatography-mass spectroscopy of extracts allowed de",matches_queue_best_doi,,,,
JBI-016,Ipomoea purpurea,Convolvulaceae,10.1111/j.1558-5646.1987.tb02468.x,10.1111/j.1558-5646.1987.tb02468.x,https://openalex.org/W2316750284,FREQUENCY‐DEPENDENT VARIATION FOR OUTCROSSING RATE AMONG FLOWER‐COLOR MORPHS OF IPOMOEA PURPUREA,"In a series of previous studies, it has been shown that populations of the common morning glory Ipomoea purpurea are typically polymorphic for flower-color genes that bias pollinator service and, hence, the rate of outcrossing. In this study, we show that the rate of outcrossing for the white flower-color morph depends on its freq",matches_queue_best_doi,,,,
JBI-017,Ipomopsis aggregata,Polemoniaceae,10.1002/j.1537-2197.1988.tb14186.x,10.1002/j.1537-2197.1988.tb14186.x,https://openalex.org/W1971610493,POLLINATION AND SEED PRODUCTION IN IPOMOPSIS AGGREGATA: DIFFERENCES AMONG AND WITHIN FLOWER COLOR MORPHS,"The pollination of red, pink, and white color morphs of Ipomopsis aggregata was evaluated to assess whether ethological isolation based on pollinator color discrimination may occur. We observed animal visitors, assessed pollen delivery, seed set per fruit, percentage of flowers setting fruit, n",matches_queue_best_doi,,,,
JBI-018,Iris lutescens,Iridaceae,10.1093/aob/mcw036,10.1093/aob/mcw036,https://openalex.org/W2339618223,Neutral processes contribute to patterns of spatial variation for flower colour in the Mediterranean Iris lutescens (Iridaceae),". natural selection in population differentiation. However, current explanations for the maintenance of flower colour polymorphism mainly rely on balancing selection, while neutral processes have seldom been championed. Iris lutescens (Iridaceae) is a widespread species in the northern Mediterranean basin, which shows a stable and striking purple-yellow flower colour polymorphism. To evaluate the roles of neutral processes in the spatial variation fo",matches_queue_best_doi,,,,
JBI-019,Kadsura longipedunculata,Schisandraceae,10.1002/bod2.12020,10.1002/bod2.12020,https://openalex.org/W4404001862,"Geographic variations of floral traits and pollinator guilds in a specialized pollination mutualism, Kadsura longipedunculata and gall midges","Geographic variations of floral traits and pollinator guilds in a specialized pollination mutualism, Kadsura longipedunculata and gall midges. out whether these geographic variations in floral traits influence species–specific interactions in obligate mutualisms. In this study, variations in flower morphology, color and scent were investigated within and among Kadsura longipedunculata populations. Local midge pollinators across three populations were sampled to examine the plant‐insect dynamics at the geographic scale. Our results suggested dimorphism in androecium color within and among populations.",matches_queue_best_doi,,,,
JBI-020,Lantana camara,Verbenaceae,10.1007/s44372-024-00072-5,10.1007/s44372-024-00072-5,https://openalex.org/W4405656258,Variations in floral secondary metabolites of three flower color morphs of Lantana camara L.: possible roles in pollinators attraction,Plant secondary metabolites in the flowers mediate their interactions with pollinators. We analyzed the variations in the floral secondary metabolites (FSMs) of three different flower color morphs (FCMs) of Lantana camara in relation to pollinator attraction. FSMs were characterized by GC–MS. Data analysis revealed no significant quantitative differences between the FCMs in the chemical classes and insect semiochemicals of the FSMs. The,matches_queue_best_doi,,,,
JBI-021,Leptosiphon parviflorus,Polemoniaceae,https://openalex.org/W7111452177,,https://openalex.org/W7111452177,Gene Expression of Anthocyanin Pigments in the California Native Plant Leptosiphon parviflorus: Interactions Between Flower Color Morphology and Abiotic Stressors,"adaptation seen in plants is the production of anthocyanin pigments, which have been shown to protect plants from UV radiation, metabolic stress, and drought. In this study, we used the flower color polymorphic species Leptosiphon parviflorus to investigate the role of anthocyanin pigments in protecting plants from abiotic stress. To accomplish this, RNA samples were taken from flower, leaf and root tissue of different flower color morphs of Leptosiphon parv",matches_queue_best_openalex,,,,
JBI-022,Lotus corniculatus,Fabaceae,10.1111/j.1469-8137.1981.tb04098.x,10.1111/j.1469-8137.1981.tb04098.x,https://openalex.org/W2166044192,THE KEEL PETAL COLOUR POLYMORPHISM OF LOTUS CORNICULATUS L. IN SCOTLAND,"SUMMARY In a survey of the keel petal colour polymorphism in Lotus corniculatus L. conducted at 61 coastal and inland locations in Scotland, there was a major difference in morph frequency between populations in the west and those in the east and central areas, with the dark keel being at low‐relat",matches_queue_best_doi,,,,
JBI-023,Lupinus perennis,Fabaceae,https://openalex.org/W3041830603,,https://openalex.org/W3041830603,Effects of Flower Color on Pollination and Seed Production in Lupinus Perennis,"We examined how flower color morphs (blue vs white) in Lupinus perennis affect the probability of a flower setting fruit, average mass of a seed produced, and average number of seeds per pod.",matches_queue_best_openalex,,,,
JBI-024,Lupinus polyphyllus,Fabaceae,10.33338/ef.83851,10.33338/ef.83851,https://openalex.org/W2201993718,"Bumblebee visits to different colour morphs of the Washington lupine, Lupinus polyphyllus","We examined the flower visits of bumblebees (Hymenoptera, Apoidea, Bomb us spp.) to Lupinus polyphyllus Lindley (Fabaceae) in southern Finland. The racemes of the plant bear nectarless flowers which appear in three main colour morphs, blue, red and white, of which blue is the most common. Blue inflorescences had the great",matches_queue_best_doi,,,,
JBI-025,Lysimachia monelli,Primulaceae,10.1186/s12870-024-05481-y,10.1186/s12870-024-05481-y,https://openalex.org/W4403002573,A multiscale approach to understanding the shared blue-orange flower color polymorphism in two Lysimachia species,"A multiscale approach to understanding the shared blue-orange flower color polymorphism in two Lysimachia species. phism, or introgression. Although shared neutral genomic variation across species is commonplace, few examples of shared functional traits exist. The blue-orange petal color polymorphisms in two closely related species, Lysimachia monelli and L. arvensis were investigated with UV-vis reflectance spectra, flavonoid biochemistry, and transcriptome comparisons followed by climate niche analysis. RESULTS: Similar color morphs between species have nearly iden || Can a flower color ancestral polymorphism transcend speciation?. al polymorphism, or introgression. Although shared neutral genomic variation is commonplace, very few examples of shared functional traits exist. The blue-orange petal color polymorphisms in two closely related species, Lysimachia monelli and L. arvensis were investigated with UV-vis reflectance spectra, flavonoid biochemistry, and transcriptome comparisons followed by climate niche analysis. The similarities in reflectance spectra, biochemistry, and tra || A multiscale approach to understanding the shared blue-orange flower color polymorphism in two Lysimachia species. phism, or introgression. Although shared neutral genomic variation across species is commonplace, few examples of shared functional traits exist. The blue-orange petal color polymorphisms in two closely related species, Lysimachia monelli and L. arvensis were investigated with UV-vis reflectance spectra, flavonoid biochemistry, and transcriptome comparisons followed by climate niche analysis. Results Similar color morphs between species have nearly ident",matches_queue_best_doi,,,,
JBI-026,Mimulus ringens,Phrymaceae,10.1093/botlinnean/boad065,10.1093/botlinnean/boad065,https://openalex.org/W4393339809,Floral colour variation across life history and geography in Mimulus ringens (Phrymaceae),"es that result in temporal or ecogeographic isolation. We investigate the possibility that both floral colour and life history have shifted together in a recently described, genetically distinct group within the species Mimulus ringens. Using a large, range-wide citizen science dataset, we test for geographic trends in flower colour and flowering time. We combine this with greenhouse studies in populations of known life history to test for differences",matches_queue_best_doi,,,,
JBI-027,Mirabilis jalapa,Nyctaginaceae,10.1086/673245,10.1086/673245,https://openalex.org/W2065776166,"Betalain Color Morphs Exhibit Differential Growth, Defensive Ability, and Pollen Tube Growth Rates in Mirabilis jalapa (Nyctaginaceae)","heir phylogenetic counterparts, the anthocyanins, do.Methodology. We measured floral and leaf betalain concentrations and several phenological and performance traits in four floral color morphs of horticultural lines of Mirabilis jalapa (Nyctaginaceae). We also performed herbivore assays and measured pollen tube length in situ to investigate the role of betalain concentration in defense and prezygotic barriers among the floral color morphs.Pivotal resu",matches_queue_best_doi,,,,
JBI-028,Opuntia streptacantha,Cactaceae,10.5091/plecevo.112250,10.5091/plecevo.112250,https://openalex.org/W4400298785,Morphological and phenological variation of flower colour morphs in a wild population of Opuntia streptacantha (Cactaceae),"tely 220 species. The considerable morphological and anatomical diversity among these species has resulted in a remarkable adaptative plasticity, evident in both intra- and interspecific variability. Our study system is Opuntia streptacantha , which has two flower colour morphs: yellow and orange. The objective is to determine if there are morphological differences in the reproductive and vegetative structures between floral morphs. Material and methods – W",matches_queue_best_doi,,,,
JBI-029,Pedicularis comosa,Orobanchaceae,10.64898/2026.01.30.700338,10.64898/2026.01.30.700338,https://openalex.org/W7127104116,A cryptic hybrid zone reveals the genomic basis of flower colour variation in a plant with a large and complex genome,"A cryptic hybrid zone reveals the genomic basis of flower colour variation in a plant with a large and complex genome. his trait may also results from other eco-evolutionary factors whose interpretation requires throughout context-specific analyses. Here, we investigated the eco-evolutionary causes of pink- and yellow-flowered morphs in Pedicularis comosa where their parapatric ranges form a contact zone: in the East of the Pyrenees Mountains. First, we generated a near-chromosome-scale reference genome assembly for this species. We then used a Genotyping By Sequencing a",matches_queue_best_doi,,,,
JBI-030,Raphanus sativus,Brassicaceae,10.1002/j.1537-2197.1987.tb08595.x,10.1002/j.1537-2197.1987.tb08595.x,https://openalex.org/W2031071577,REPRODUCTIVE BIOLOGY OF PETAL COLOR VARIANTS IN WILD POPULATIONS OF RAPHANUS SATIVUS: I. POLLINATOR RESPONSE TO COLOR MORPHS,"Pollinator response to petal color polymorphism in wild radish (Raphanus sativus) was investigated. Behavior of insect visitors was observed within experimental flower arrays, each containing two of the petal color forms seen intermixed in California populations: white, yellow, pink, and bronze. Hon",matches_queue_best_doi,,,,
JBI-031,Rhododendron arboreum,Ericaceae,10.1163/22238980-bja10061,10.1163/22238980-bja10061,https://openalex.org/W4281817580,"Altitudinal variation in flower color and attraction pattern of Rhododendron arboreum Sm. in central Himalayan Region of Uttarakhand, India","ation and attraction as a mechanism for pollination and protection of floral parts. As part of this study, a survey relating to flower color variation and differences in spotting pattern (nectar guides) was conducted on Rhododendron arboreum , a widespread tree species in the mountainous region of Uttarakhand state, at 43 different altitudinal locations. Seven original color morphs of flowers and five types of spot variation in the nectar guide were observe",matches_queue_best_doi,,,,
JBI-032,Silene littorea,Caryophyllaceae,10.1111/plb.13209,10.1111/plb.13209,https://openalex.org/W3103775414,"The effects of pollination, herbivory and autonomous selfing on the maintenance of flower colour variation in Silene littorea","Intraspecific flower colour variation has been generally proposed to evolve as a result of selection driven by biotic or abiotic agents. In a polymorphic population of Silene littorea with pink- and white-flowered plants, we studied pollinators, analysed flower colour perception and tested for differences in pollinator visitation. We also experimentally analysed pollinator limitation in fruit and see",matches_queue_best_doi,,,,
JBI-033,Solanum carolinense,Solanaceae,10.5091/plecevo.128527,10.5091/plecevo.128527,https://openalex.org/W4403078083,A field investigation into potential reproductive and resistance advantages of purple-petalled plants in polymorphic populations of horsenettle (Solanum carolinense),"lutionary biologists alike. Nevertheless, the diversity of genetic factors and ecological interactions that act to maintain flower-color polymorphisms over time are understood for very few species. Here, we suggest that Solanum carolinense (horsenettle) makes an excellent model system for studying the evolutionary ecology of a flower-color polymorphism, and we begin to shed insight into factors that might affect the stability of the polymorphism. Material",matches_queue_best_doi,,,,
JBI-034,Stellera chamaejasme,Thymelaeaceae,10.64898/2026.04.16.719044,10.64898/2026.04.16.719044,https://openalex.org/W7155106124,Canalized gene regulatory networks stabilize floral polymorphism and enable modular transgressive expression,"rphisms frequently persist across heterogeneous environments despite ongoing gene flow, yet the regulatory mechanisms maintaining discrete phenotypes remain unclear. We tested whether alternative flower-colour morphs in Stellera chamaejasme L. are maintained by canalized gene regulatory architectures that stabilize expression around morph-specific optima. We used a pan-transcriptomic and eco-evolutionary framework integrating genome-wide gene expression pr",matches_queue_best_doi,,,,
