review_id,canonical_name,frozen_rule_label,queue_recomputed_label,queue_rule_comparison,within_signal_in_queue_text,geographic_signal_in_queue_text,classification_source_id,queue_best_doi,queue_best_openalex_id,source_match_status,queue_review_status,queue_review_reason
JBI-001,Agave lechuguilla,among_population,among_population,matches_frozen_label,0,1,10.3732/ajb.90.3.377,10.3732/ajb.90.3.377,https://openalex.org/W2092683630,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-002,Anemone palmata,within_population,within_population,matches_frozen_label,1,0,10.1111/plb.13702,10.1111/plb.13702,https://openalex.org/W4402126765,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-003,Antirrhinum majus,among_population,among_population,matches_frozen_label,0,1,10.15479/at:ista:th_526,10.15479/at:ista:th_526,https://openalex.org/W2954960215,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-004,Aquilegia coerulea,among_population,among_population,matches_frozen_label,0,1,10.1093/aob/mcv028,10.1093/aob/mcv028,https://openalex.org/W2145222715,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-005,Bletilla striata,within_population,within_population,matches_frozen_label,1,0,10.3390/ijms26083555,10.3390/ijms26083555,https://openalex.org/W4409335954,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-006,Calceolaria uniflora,among_population,among_population,matches_frozen_label,0,1,10.1007/s00606-003-0083-1,10.1007/s00606-003-0083-1,https://openalex.org/W2016058514,matches_queue_best_doi,unreviewed,aggregated_followup_direct_support
JBI-007,Campanula americana,among_population,among_population,matches_frozen_label,0,1,10.3389/fpls.2020.00991,10.3389/fpls.2020.00991,https://openalex.org/W3039231158,matches_queue_best_doi,unreviewed,aggregated_followup_direct_and_natural_support
JBI-008,Convolvulus arvensis,among_population,among_population,matches_frozen_label,0,1,10.1111/plb.13537,10.1111/plb.13537,https://openalex.org/W4376223817,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-009,Corydalis cava,within_population,within_population,matches_frozen_label,1,0,10.1007/s13592-014-0326-x,10.1007/s13592-014-0326-x,https://openalex.org/W2064420380,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-010,Dactylorhiza sambucina,within_population,within_population,matches_frozen_label,1,0,10.3390/d15020179,10.3390/d15020179,https://openalex.org/W4318475531,matches_queue_best_doi,unreviewed,known_positive_control
JBI-011,Disa porrecta,among_population,among_population,matches_frozen_label,0,1,10.1093/aob/mcaf074,10.1093/aob/mcaf074,https://openalex.org/W4409528104,matches_queue_best_doi,unreviewed,natural_polymorphism_with_replicated_context
JBI-012,Encelia farinosa,among_population,among_population,matches_frozen_label,0,1,10.1002/ajb2.16413,10.1002/ajb2.16413,https://openalex.org/W4403034968,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-013,Eschscholzia californica,among_population,among_population,matches_frozen_label,0,1,10.1007/bf00989403,10.1007/bf00989403,https://openalex.org/W1967093324,matches_queue_best_doi,unreviewed,aggregated_followup_direct_support
JBI-014,Heliconia irrasa,within_population,within_population,matches_frozen_label,1,0,10.2307/1367077,10.2307/1367077,https://openalex.org/W2328833611,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_support
JBI-015,Hesperis matronalis,within_population,within_population,matches_frozen_label,1,0,10.1093/aob/mcn181,10.1093/aob/mcn181,https://openalex.org/W2160805784,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-016,Ipomoea purpurea,within_population,within_population,matches_frozen_label,1,0,10.1111/j.1558-5646.1987.tb02468.x,10.1111/j.1558-5646.1987.tb02468.x,https://openalex.org/W2316750284,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-017,Ipomopsis aggregata,within_population,within_population,matches_frozen_label,1,0,10.1002/j.1537-2197.1988.tb14186.x,10.1002/j.1537-2197.1988.tb14186.x,https://openalex.org/W1971610493,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-018,Iris lutescens,among_population,among_population,matches_frozen_label,0,1,10.1093/aob/mcw036,10.1093/aob/mcw036,https://openalex.org/W2339618223,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-019,Kadsura longipedunculata,among_population,among_population,matches_frozen_label,0,1,10.1002/bod2.12020,10.1002/bod2.12020,https://openalex.org/W4404001862,matches_queue_best_doi,unreviewed,aggregated_followup_direct_support
JBI-020,Lantana camara,within_population,within_population,matches_frozen_label,1,0,10.1007/s44372-024-00072-5,10.1007/s44372-024-00072-5,https://openalex.org/W4405656258,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-021,Leptosiphon parviflorus,within_population,within_population,matches_frozen_label,1,0,https://openalex.org/W7111452177,,https://openalex.org/W7111452177,matches_queue_best_openalex,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-022,Lotus corniculatus,among_population,among_population,matches_frozen_label,0,1,10.1111/j.1469-8137.1981.tb04098.x,10.1111/j.1469-8137.1981.tb04098.x,https://openalex.org/W2166044192,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-023,Lupinus perennis,within_population,within_population,matches_frozen_label,1,0,https://openalex.org/W3041830603,,https://openalex.org/W3041830603,matches_queue_best_openalex,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-024,Lupinus polyphyllus,within_population,within_population,matches_frozen_label,1,0,10.33338/ef.83851,10.33338/ef.83851,https://openalex.org/W2201993718,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-025,Lysimachia monelli,within_population,within_population,matches_frozen_label,1,0,10.1186/s12870-024-05481-y,10.1186/s12870-024-05481-y,https://openalex.org/W4403002573,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-026,Mimulus ringens,among_population,among_population,matches_frozen_label,0,1,10.1093/botlinnean/boad065,10.1093/botlinnean/boad065,https://openalex.org/W4393339809,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-027,Mirabilis jalapa,within_population,within_population,matches_frozen_label,1,0,10.1086/673245,10.1086/673245,https://openalex.org/W2065776166,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-028,Opuntia streptacantha,within_population,within_population,matches_frozen_label,1,0,10.5091/plecevo.112250,10.5091/plecevo.112250,https://openalex.org/W4400298785,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-029,Pedicularis comosa,among_population,among_population,matches_frozen_label,0,1,10.64898/2026.01.30.700338,10.64898/2026.01.30.700338,https://openalex.org/W7127104116,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-030,Raphanus sativus,within_population,within_population,matches_frozen_label,1,0,10.1002/j.1537-2197.1987.tb08595.x,10.1002/j.1537-2197.1987.tb08595.x,https://openalex.org/W2031071577,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-031,Rhododendron arboreum,within_population,within_population,matches_frozen_label,1,0,10.1163/22238980-bja10061,10.1163/22238980-bja10061,https://openalex.org/W4281817580,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-032,Silene littorea,within_population,within_population,matches_frozen_label,1,0,10.1111/plb.13209,10.1111/plb.13209,https://openalex.org/W3103775414,matches_queue_best_doi,unreviewed,known_positive_control
JBI-033,Solanum carolinense,within_population,unclear,differs_from_frozen_label,0,0,10.5091/plecevo.128527,10.5091/plecevo.128527,https://openalex.org/W4403078083,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
JBI-034,Stellera chamaejasme,within_population,within_population,matches_frozen_label,1,0,10.64898/2026.04.16.719044,10.64898/2026.04.16.719044,https://openalex.org/W7155106124,matches_queue_best_doi,unreviewed,natural_polymorphism_with_direct_and_replicated_support
